Date,Close,High,Low,Open,Volume
2021-01-01,378.0007019042969,379.1176531824753,373.99821504106416,375.6736845672918,1081415
2021-01-04,388.2861022949219,390.38041787192356,378.7918887227646,378.7918887227646,3483313
2021-01-05,390.65966796875,393.359002302229,382.46855019098507,387.6345455385125,3696376
2021-01-06,389.6822814941406,395.4998242980242,386.3313711579096,393.7312969668377,3156306
2021-01-07,388.8911437988281,394.05713956702937,388.14650957929126,391.40433400022056,1588219
2021-01-08,395.313720703125,396.33758561732606,389.8219370056351,389.8219370056351,2514098
2021-01-11,400.57275390625,402.57398305411067,395.40675858301273,397.4545451193185,3179547
2021-01-12,393.77783203125,402.06203583675824,392.7539672067231,402.06203583675824,1821912
2021-01-13,389.3565368652344,397.3614823378649,386.37797166084266,395.5929548093239,1974208
2021-01-14,389.9615478515625,393.35898723108073,387.12256986683644,391.21811439581614,2541779
2021-01-15,388.09991455078125,392.42816057800803,384.56283159494154,392.42816057800803,2888933
2021-01-18,382.6081237792969,389.44955944052083,377.06984036285405,388.0533492405147,2074676
2021-01-19,388.2861022949219,389.5426973223175,382.79434712975643,384.516345618708,2213374
2021-01-20,388.0068359375,392.9401008144268,384.46975291101273,388.3326240118564,1613007
2021-01-21,387.72760009765625,394.8482955572061,385.58675560514627,390.00808834895906,1647176
2021-01-22,389.7753601074219,393.21935674120687,384.5163071985098,387.21564132462686,1835701
2021-01-25,381.7704162597656,394.66209655727636,378.9314667860695,390.9388692312643,3025651
2021-01-27,383.9112854003906,388.7049348562938,374.4170444460821,383.49241096777087,4684117
2021-01-28,382.98052978515625,386.79681554387065,375.34790145578006,382.3289535597313,3473853
2021-01-29,386.84332275390625,392.33507734876855,384.98170910100583,387.21563980329233,5304926
2021-02-01,388.09991455078125,391.4507963744602,385.58672477705227,388.0533571662486,2926362
2021-02-02,394.3829040527344,400.6658507736686,389.77539842832675,390.00810015873174,3204628
2021-02-03,386.9364318847656,397.2218365598373,385.1678760856738,395.40675177907326,2372737
2021-02-04,385.3540344238281,389.44957886694516,384.00435313411003,386.9829464050882,1578268
2021-02-05,379.95538330078125,388.0533861882711,377.90759678340845,386.6106468732848,1683298
2021-02-08,382.7942810058594,385.30747062652216,380.2345624094676,381.81694526780615,1605165
2021-02-09,384.28363037109375,390.00808706568444,383.2597371104906,384.8886491686409,1596161
2021-02-10,382.4220275878906,387.960311701286,380.14153927851015,385.354063695685,1825990
2021-02-11,387.7741394042969,389.40305139185193,379.6295794665217,383.8647392717765,1851525
2021-02-12,383.16668701171875,388.2861253933804,381.63086117841516,388.1465100278028,1406466
2021-02-15,382.0962219238281,388.5653410630026,381.11888606814114,386.28485285843766,1208693
2021-02-16,380.93267822265625,384.65590537694,377.628325485617,384.19050198265455,1358750
2021-02-17,387.4949035644531,389.0772866668749,379.3038141549079,380.14153468902487,2123650
2021-02-18,388.5187683105469,391.8696786069069,386.564068270506,390.9388717693608,2569355
2021-02-19,395.45330810546875,398.29225772317665,388.1464684263209,389.8219094456286,4620093
2021-02-22,391.7766418457031,403.92368965722767,386.8433763444848,398.71116502580566,5212684
2021-02-23,392.8935852050781,395.59291944480134,388.23955085866874,392.94011418615366,2224637
2021-02-24,395.03448486328125,396.9891852432119,386.4245201188505,392.89364012705613,1032212
2021-02-25,381.4446105957031,399.0834106015895,378.0006425215565,392.80046477870735,6334193
2021-02-26,370.0422668457031,384.19054290124495,363.66626238968473,379.76921018463463,4933943
2021-03-01,373.9981994628906,374.8359483940963,368.646059810712,373.1604789376571,1971538
2021-03-02,378.55914306640625,379.81570954202493,373.25353285790845,374.1843396730154,2414479
2021-03-03,380.74652099609375,382.0962022568311,377.2559953969144,379.76918519071154,3291643
2021-03-04,378.8384094238281,383.49244393763433,375.76675800710495,379.76921632658934,2464082
2021-03-05,373.7654724121094,378.83838101412147,372.32273318341174,376.9767673482044,1717183
2021-03-08,372.74163818359375,376.6510101589865,372.3227637120287,375.999462366074,1368015
2021-03-09,373.53277587890625,375.6270912820782,371.43846047573425,372.74161278470666,1546208
2021-03-10,375.839111328125,378.94559718786957,374.7565498150694,376.7334175113222,1673234
2021-03-12,370.8028564453125,377.48653906718783,369.3908120348367,375.8391539216328,2170868
2021-03-15,369.34375,373.6269398248166,366.5196612201781,370.8969930832787,1359623
2021-03-16,371.6971435546875,373.344528615257,367.3198118536545,369.48493501344245,2210581
2021-03-17,368.59063720703125,373.15625308210576,363.7426239492165,371.9795494404946,2364847
2021-03-18,362.989501953125,370.1438649891444,360.35366887242685,369.95558093762565,1382602
2021-03-19,371.74420166015625,372.9679906610862,356.87067940358963,361.48335184557936,2834530
2021-03-22,378.1455078125,379.3222114978412,370.8970016195512,371.7442225273734,1625660
2021-03-23,376.6393127441406,379.13391875444347,375.6508644341678,377.91015844089617,947847
2021-03-24,377.2041015625,381.7226317042517,373.2503661423818,373.2503661423818,1872518
2021-03-25,374.66241455078125,379.46337083461765,370.8969631482608,378.28666727133,2305425
2021-03-26,378.2867126464844,380.1223531885279,373.67403987073374,375.3214250569388,1001171
2021-03-30,384.2643737792969,385.91175896793993,379.46341691248506,379.88701300983683,1467822
2021-03-31,387.18255615234375,388.2651464890555,383.0876504471402,386.57067600210434,1052705
2021-04-01,383.37005615234375,387.46499067454835,382.3816365595882,387.1825645565346,645008
2021-04-05,378.8515319824219,392.54835145936124,375.60381830284206,387.1355144788065,2105709
2021-04-06,379.3692626953125,381.7697266876217,375.79209503459356,379.2280640007267,1032326
2021-04-07,384.0760803222656,389.25357650308047,378.33376063064753,379.3222089565825,1687852
2021-04-08,390.3360900878906,391.2303962639108,384.0760330400903,384.1230896901488,1917274
2021-04-09,395.937255859375,397.0668741435141,391.6069806165494,392.54834355072376,1583730
2021-04-12,383.51129150390625,395.32541473116004,382.1933890115593,390.6656562556579,1469250
2021-04-13,396.59619140625,399.1378828116274,383.1347129819159,383.1347129819159,2833579
2021-04-15,398.47894287109375,400.26755553770977,392.7366516045684,396.8786430221724,1234047
2021-04-16,399.0908203125,402.5267892152965,397.72583259105926,401.67956833528206,1321942
2021-04-19,395.27825927734375,399.0907960982635,390.1478489257982,399.0907960982635,1170059
2021-04-20,386.1470947265625,400.3616523312291,383.55834660638425,400.3616523312291,1881478
2021-04-22,387.2296142578125,392.92484801148896,386.0058253154234,386.9001315145495,1732046
