Date,Close,High,Low,Open,Volume
2021-01-01,378.1103820800781,380.0787363740411,374.2674100974639,375.34533815195505,1345602
2021-01-04,387.8583068847656,392.49799613153914,378.39151242874664,380.453574290565,4721177
2021-01-05,389.1706237792969,390.8109141733014,382.6094622032786,387.8583685805777,2757851
2021-01-06,406.7451477050781,417.0086614609428,390.8577527867376,393.66967906577884,11715662
2021-01-07,404.26129150390625,414.2905075399576,402.38667382272996,410.68186278281416,3263640
2021-01-08,414.8059997558594,418.93018137685,406.60454772110813,409.5570933371343,5146410
2021-01-11,411.9941101074219,417.61796343308464,405.8547483353322,417.1024549866578,2661411
2021-01-12,417.66485595703125,421.60153621582845,408.24488425024236,414.24368415690105,4222486
2021-01-13,411.94720458984375,422.30445506098226,405.85469758225787,419.91432913822524,2745987
2021-01-14,420.1955871582031,422.6794787374391,413.2126527045816,413.35324332496884,3761138
2021-01-15,405.6672668457031,420.1487003058104,403.1834040650534,420.1487003058104,2566735
2021-01-18,398.49688720703125,407.3075854577436,394.7945340837354,405.6672948247344,2097777
2021-01-19,409.60394287109375,412.97826024949194,400.09026433535564,400.09026433535564,1664611
2021-01-20,409.3695983886719,416.1650868564861,408.01048925335175,409.9788433580111,2707904
2021-01-21,401.40252685546875,415.883960456987,397.6064373427274,409.6039795349442,1176261
2021-01-22,401.7773742675781,408.29168126729536,397.70007564351585,401.16812932476233,2695024
2021-01-25,394.84136962890625,403.0428224105156,377.7354823986925,401.9180403015646,2142180
2021-01-27,405.8078918457031,415.5090158895,394.60703926564395,397.13778468844134,5402116
2021-01-28,409.79144287109375,414.19677732720686,397.5126911490153,401.77743499774965,2040445
2021-01-29,406.3233642578125,428.77192142961553,403.9800922609393,412.4158714496828,4558422
2021-02-01,425.58502197265625,428.3500941975265,399.4809964461024,409.60391939675947,2609450
2021-02-02,427.0379333496094,433.786540153009,421.92958848911354,427.41285118239875,1988474
2021-02-03,435.3330383300781,443.90940723731507,430.2246944595534,430.2246944595534,3880608
2021-02-04,448.9708557128906,451.5953085634017,431.5369086219503,435.28614332518947,3748605
2021-02-05,437.5826110839844,460.68726686508813,432.80233056959196,458.2971409100889,4967630
2021-02-08,470.95086669921875,483.18273636226587,440.72265477354836,440.72265477354836,8821777
2021-02-09,470.7633361816406,476.99643386665116,467.389018842536,471.466317768771,2645701
2021-02-10,468.8887634277344,479.1991610243462,462.7025191488879,474.2782894441451,1834353
2021-02-11,469.54486083984375,475.2155677110081,461.437116732067,466.7797884025286,919182
2021-02-12,515.05126953125,537.1248839265439,464.5303226993831,468.56073975441024,14059902
2021-02-15,510.1771240234375,514.5356324478535,500.56970965908283,508.9586341311786,2657865
2021-02-16,503.4754638671875,512.2392785955062,495.46142755671156,510.88016934228693,3175417
2021-02-17,507.599609375,531.3135124502093,499.1169755053532,499.1169755053532,5953486
2021-02-18,521.237548828125,528.220512813047,508.16213312173375,508.16213312173375,3794478
2021-02-19,533.2818603515625,550.6689273829162,521.6123541933496,521.9873006018921,9880580
2021-02-22,514.7698974609375,533.2817424151962,510.13020842305144,533.2348884266877,2299939
2021-02-23,522.3621826171875,535.2033246144945,513.7858414254335,521.7529662226722,3149822
2021-02-24,544.9044799804688,557.6987687349643,530.2356307247321,532.3914296495121,3900108
2021-02-25,539.1400756835938,559.5733976918906,535.6251674066347,556.6208518557276,4200415
2021-02-26,522.877685546875,549.2160968675661,515.7073076296232,530.5167750678514,4612425
2021-03-01,527.2362060546875,537.0779485677084,521.3780259874133,527.6111524625089,2068440
2021-03-02,536.4218139648438,545.5137207524762,532.9537599684741,536.093778768869,2410011
2021-03-03,542.092529296875,551.137582228875,537.546604435816,538.9525676557877,2596642
2021-03-04,576.96044921875,603.5800433519759,538.9994409225098,540.8272046155687,15871139
2021-03-05,554.3245239257812,585.302572611595,551.1845046859079,582.7249730548378,4647321
2021-03-08,559.8078002929688,582.959344036506,555.7773830344196,566.8844718017516,5825950
2021-03-09,547.2478637695312,566.5564644475634,542.7956457998439,566.5564644475634,3375768
2021-03-10,537.687255859375,556.5739952540738,532.0164914320005,556.5739952540738,2596632
2021-03-12,540.9678955078125,560.8857111419911,534.2661134814985,553.0122929019019,7816657
2021-03-15,525.4083862304688,536.6092367627314,518.331716907931,527.2830036514739,3483548
2021-03-16,522.2215576171875,530.516716609997,519.2690123709158,529.579407923407,1898170
2021-03-17,505.3031311035156,522.549635221238,503.1941863873761,517.5350562241542,2364082
2021-03-18,511.4893493652344,522.8307613156493,494.80526658848606,517.3943825064321,4099158
2021-03-19,525.4083862304688,527.8454232030456,495.1333263229919,506.28732286148613,2726319
2021-03-22,525.595947265625,531.5947468990307,516.3165665971238,524.8929656152474,1962206
2021-03-23,533.2349853515625,539.889854775172,523.0182968134479,523.0182968134479,3483961
2021-03-24,523.7213134765625,541.0615269876433,520.4407325420337,528.6421848783557,1929662
2021-03-25,515.472900390625,529.5793840460242,511.20815750068283,526.2050958099508,2464529
2021-03-26,552.4498901367188,555.2149056326566,515.9416969346744,515.9416969346744,8163393
2021-03-30,560.3233032226562,571.8991035835766,550.6690320597936,552.44994202572,6813462
2021-03-31,560.5106201171875,576.7729036869064,551.9811335641356,553.1058582722593,3786964
2021-04-01,561.0731811523438,568.0092910887648,556.1523085810302,567.0719820275623,2350611
2021-04-05,542.326904296875,569.6963354995526,538.1090142652266,559.1047564173945,1681325
2021-04-06,540.3585205078125,556.6208052232746,535.3907953343206,547.3883364727884,1625567
2021-04-07,547.99755859375,570.1180212020037,542.7017415141145,543.6859042149999,4420444
2021-04-08,553.1058959960938,563.3225847257162,549.7316072240142,553.0590419981904,3631511
2021-04-09,550.5283813476562,559.6202894797067,543.6391835431713,553.1059809248006,1810213
2021-04-12,529.8139038085938,539.5619401368009,517.3945597564683,538.9526664129879,1875008
2021-04-13,537.7340698242188,539.6555414218265,526.2051830297829,535.2033246232965,1136424
2021-04-15,529.0639038085938,548.9348595645977,524.283595143576,545.3730407601122,2184542
2021-04-16,532.3914184570312,543.6391244807713,524.8929477745379,529.1108375334404,1482339
2021-04-19,517.25390625,526.580141475176,508.02143624239756,526.580141475176,1062008
2021-04-20,514.67626953125,537.0779740551111,511.8643429655164,519.7377602330874,1669540
2021-04-22,516.2697143554688,518.5192785278629,510.13035269633446,516.4571875713004,1077666
2021-04-23,515.0044555664062,527.5175081748572,510.59909170425107,515.5199640887345,874849
2021-04-26,520.487548828125,524.705438295466,516.7383137460441,520.1126596451893,992700
2021-04-27,528.032958984375,538.9526308228257,515.5199077435724,521.0500532737948,1675512
2021-04-28,527.9861450195312,536.1407447112706,524.9867447961695,530.5168907457677,945136
2021-04-29,522.3621826171875,535.671979014332,520.3000918161445,532.3913982154692,1159710
2021-04-30,552.9183959960938,567.0717337398066,516.7382477495753,522.8776079706222,6493359
2021-05-03,536.609375,559.43282509683,534.6879030902313,553.0122816593886,1500804
2021-05-04,533.98486328125,552.074912644305,531.4541179445177,541.7645152944114,1334378
2021-05-05,532.6257934570312,541.389608970034,529.5795394689355,538.015319743662,979546
2021-05-06,541.7644653320312,555.6366235908173,534.2659952236295,535.2033039871797,2641309
2021-05-07,538.0152587890625,548.1850365289984,534.4534967405793,545.3731100893343,1588585
2021-05-10,543.5454711914062,553.0122684974195,542.1395077969213,546.4511059898231,1196044
2021-05-11,574.1015625,592.3322276407358,539.514849565467,541.3426129204886,10155865
2021-05-12,560.1826782226562,584.8807444685392,556.4802966837007,579.7255455990248,2993662
2021-05-14,536.8436279296875,561.4479845131084,530.1887581754022,560.3232024846797,2120375
2021-05-17,531.5477905273438,542.7017879825205,528.5015369678564,539.8898616199168,1792475
2021-05-18,570.1649780273438,573.6330323115087,536.3750044775504,537.2186053497613,9015134
2021-05-19,562.1510009765625,575.4607985189753,557.6987837950057,573.6330347605773,2018225
2021-05-20,554.5119018554688,574.0079720217102,552.1217756905937,561.44801034255,2605955
