Date,Close,High,Low,Open,Volume
2022-06-02,13848.1103515625,13907.995377071415,13599.658296723292,13634.59534993384,10731
2022-06-03,13456.439453125,13947.621770755943,13426.707603600567,13926.98780673492,11194
2022-06-06,13477.82421875,13534.005244450858,13303.561188184609,13456.440110904325,8304
2022-06-07,13244.70703125,13452.172346508587,13145.4298920596,13413.014709690911,10559
2022-06-08,13233.3115234375,13383.939091056454,13076.024263478092,13383.939091056454,12830
2022-06-09,13470.5556640625,13506.524966904375,13168.924972883746,13206.11337231299,14211
2022-06-10,13333.2470703125,13458.973394692484,13272.001890245067,13341.734950487848,6282
2022-06-13,12999.818359375,13267.075247018065,12947.904637011508,13206.673646160907,9177
2022-06-14,12940.216796875,13205.222386902697,12897.307527278525,12971.261169819478,8777
2022-06-15,13009.8564453125,13074.008771027175,12901.762602112902,12965.633738752686,13446
2022-06-16,12709.115234375,13205.737242168185,12661.750906908415,13205.737242168185,13252
2022-06-17,12502.072265625,12807.97115743134,12464.790443193328,12727.170061438876,17576
2022-06-20,12461.2265625,12603.881924050123,12347.551992569828,12567.960250697735,11196
2022-06-21,12813.8798828125,12877.51653958798,12478.24913822932,12516.375444037434,14668
2022-06-22,12603.4599609375,12858.665141818403,12572.696778053158,12802.437403881497,13706
2022-06-23,12963.7109375,13006.339017167367,12614.856054719914,12661.751430388018,38229
2022-06-24,13380.939453125,13437.964049840652,13036.915141777412,13036.915141777412,28919
2022-06-27,13687.0244140625,13736.451403734083,13436.743262503902,13576.116858556004,28254
2022-06-28,13746.62890625,13787.240117424431,13559.422021494971,13646.553993777243,20876
2022-06-29,14559.1376953125,14659.493794867898,13655.932799313921,13706.57980282786,128714
2022-06-30,14283.9560546875,14725.148120147918,14246.815283124004,14556.324765904183,46647
2022-07-01,14712.298828125,14754.411242945553,14257.648149141904,14324.661825907871,71619
2022-07-04,14948.556640625,15006.519137608966,14682.894356517016,14687.630605934777,33501
2022-07-05,14663.2919921875,15048.631823007061,14623.477637188711,14950.24496374506,29221
2022-07-06,15107.4384765625,15147.206120921912,14631.403708250722,14675.438648548925,48854
2022-07-07,15166.57421875,15296.192301975665,14969.75378113084,15114.379300219956,25335
2022-07-08,15137.3583984375,15278.513480005382,15029.967987543661,15137.827352196862,17133
2022-07-11,15527.0107421875,15573.953744419332,15006.51971759767,15100.310465832654,47938
2022-07-12,15487.572265625,15536.436877299413,15402.316112225231,15527.010174706103,11692
2022-07-13,15351.0595703125,15630.883899577866,15317.623718327844,15489.541975598571,16505
2022-07-14,15210.3037109375,15612.004817786354,15088.881415021397,15429.58606626402,23633
2022-07-15,15614.2373046875,15700.364029786128,15210.303836134912,15210.303836134912,27102
2022-07-18,15549.44140625,15778.129173938316,15522.55289983312,15675.661511009826,24177
2022-07-19,15588.916015625,15676.610768429742,15444.786948581446,15549.487892128052,18990
2022-07-20,15569.3447265625,15771.620886046152,15468.11200818819,15676.61112167238,35675
2022-07-21,15558.5625,15657.610185793017,15415.572795329985,15657.610185793017,20935
2022-07-22,15988.5302734375,16272.893408877339,15553.099744199515,15629.10756213085,109380
2022-07-25,15685.1142578125,16151.612215892055,15638.607718919497,15988.529434626686,33185
2022-07-26,15547.9208984375,15864.920434603648,15498.990867619288,15769.721388751253,26746
2022-07-27,15609.8173828125,15766.86925419454,15410.58266363576,15648.107057341613,38519
2022-07-28,15744.8291015625,16104.155293336453,15564.499823919634,15639.557538856128,30048
2022-07-29,16261.681640625,16370.182046925298,15798.746573743725,15951.188995114848,72333
2022-08-01,16768.60546875,16853.733846453244,16131.281083054051,16341.679463887824,74234
2022-08-02,16913.6875,17006.748827437146,16626.709747494417,16738.726637439453,89734
2022-08-03,16436.544921875,17281.276292348553,16152.608636861569,17281.276292348553,168277
2022-08-04,16685.376953125,16902.236735865947,16389.18401875703,16626.70842482597,99421
2022-08-05,16531.55859375,16925.992060815,16249.190273960894,16720.7709389999,70018
2022-08-08,16450.46484375,16721.71770770164,16341.678668890238,16436.688428593086,53429
2022-08-10,16374.26953125,16726.47000633049,16309.187838808442,16484.195092861915,51020
2022-08-11,16558.158203125,16663.23862728989,16422.43713114527,16579.20323624443,58850
2022-08-12,16399.587890625,16631.45997287048,16342.630276683527,16550.701669660313,24628
2022-08-16,17143.798828125,17190.11608669053,16446.189656807222,16446.189656807222,95435
2022-08-17,17061.0,17315.24578773085,16965.752700201818,17196.769340121067,61622
2022-08-18,16726.658203125,17051.782728416703,16693.215508513444,17006.74772921973,41793
2022-08-19,16509.275390625,16940.0017425248,16448.895949235535,16871.35719473824,47005
2022-08-22,16236.8369140625,16666.850745639866,16205.815854202236,16476.26152538096,38621
2022-08-23,16430.037109375,16600.10457265946,16153.083670562602,16200.113499794896,62061
2022-08-24,16399.587890625,16550.653422512256,16355.931644271084,16417.687993784744,63336
2022-08-25,16347.5693359375,16588.704860189606,16328.426352943143,16453.79099477455,41923
2022-08-26,16391.228515625,16555.832943249003,16341.680549107272,16455.692273868484,28888
2022-08-29,16208.5712890625,16313.17666931626,15962.733521841441,16199.164951184755,43541
2022-08-30,16664.759765625,16712.2163973834,16259.969950245566,16259.969950245566,45150
2022-09-01,16781.62109375,16976.29459514063,16490.794752270373,16617.205972212916,52573
2022-09-02,16691.41015625,17004.847742162277,16592.030313177504,16834.78026278765,43637
2022-09-05,16713.26171875,16921.190209847922,16674.164830913727,16716.778193307393,25136
2022-09-06,16586.1875,16864.18571233541,16531.69976873324,16750.222236940634,19596
2022-09-07,16446.046875,16655.162989503384,16389.944724075962,16545.95001062324,16691
2022-09-08,16384.005859375,16626.7075423509,16279.921927896154,16564.951200050742,31682
2022-09-09,16324.103515625,16578.206401406103,16284.67446135742,16484.19497692831,35223
2022-09-12,16378.685546875,16498.39785374006,16343.58018010179,16462.960323913023,28905
