Date,Close,High,Low,Open,Volume
2021-01-01,788.7807006835938,791.0232165163634,783.1029765207568,785.1545730251671,2474916
2021-01-04,794.1722412109375,798.9911779770893,788.7330204606969,792.9794321974034,3487801
2021-01-05,789.4010009765625,805.1460798718339,787.5402072767777,794.1722370054326,4559213
2021-01-06,787.06298828125,796.2237952919601,777.9499402191419,791.0708377082719,3318460
2021-01-07,788.7329711914062,792.4545583782093,780.57416969701,792.0251355116361,2879675
2021-01-08,800.3271484375,807.4840025282563,789.5441665892861,792.6931707406933,5072916
2021-01-11,817.6466674804688,820.652569374647,794.649333891555,800.6133787271265,5332109
2021-01-12,804.5735473632812,825.0421031426847,802.5218925928956,820.6525893339955,4338010
2021-01-13,803.1898803710938,813.0186148884736,794.4107944772937,808.5813421087569,3596529
2021-01-14,802.4264526367188,808.7721612457987,791.0708882418668,803.1898387090547,3652930
2021-01-15,786.013427734375,806.2434799571629,783.4369486542219,800.613398198407,3137877
2021-01-18,765.0677490234375,788.8285293528363,759.7716883213806,784.3912562485384,3742440
2021-01-19,784.8206176757812,787.6356585513482,765.7833744748895,765.7833744748895,3791378
2021-01-20,794.6970825195312,796.7010366506909,784.6774865916199,784.8683476863915,3056546
2021-01-21,775.564453125,800.8997059864324,771.9860259343279,796.7964544563212,3326213
2021-01-22,771.3180541992188,784.8683770379441,761.7278808152448,778.4749087010845,3883231
2021-01-25,798.5139770507812,817.7897804915211,771.2702334682286,775.8029072807547,10704200
2021-01-27,803.9532470703125,817.2650068454025,787.4447825475422,801.4722277057808,7410174
2021-01-28,803.3807373046875,810.0127087202703,787.9219210868265,797.2735319555536,4489853
2021-01-29,788.1127319335938,811.9211513529133,783.198335892292,809.1538696075487,7185812
2021-02-01,769.5049438476562,792.9794010138315,744.2650944652975,777.711446241002,13856367
2021-02-02,784.009521484375,788.5421959460496,764.8291749541307,770.0775348571224,8486828
2021-02-03,810.3944702148438,838.6879242353222,786.4905884528523,788.2082218398126,15674616
2021-02-04,796.2715454101562,817.312683404443,794.5061532383144,808.7721597693802,4639606
2021-02-05,808.9154663085938,815.7860586738276,792.5024007257114,801.1860280567178,7381183
2021-02-08,808.4859008789062,819.9368667219832,802.569556878125,813.0185748584576,4244906
2021-02-09,803.237548828125,817.6466576811252,800.6133691319238,809.2015935922186,4200281
2021-02-10,823.8970336914062,827.3323002222686,802.5218736873449,808.8198817414676,5665209
2021-02-11,820.461669921875,834.8708365163355,816.8355424799511,828.2865080287355,5347864
2021-02-12,809.7265014648438,824.8035965362413,806.8160589680682,819.6983969882561,2473012
2021-02-15,805.6709594726562,817.408189260575,803.4762023972944,811.205581997413,2531913
2021-02-16,809.5355224609375,813.2571095329097,802.7603911933825,811.1100535089155,2808115
2021-02-17,797.46435546875,815.5950513316006,794.8878765133991,810.5852537905498,2539649
2021-02-18,787.6834106445312,804.8598612859124,784.8683695853343,796.7964603085157,4114251
2021-02-19,770.411376953125,787.6832844998348,762.4434369231294,786.1087534794783,3834443
2021-02-22,756.1931762695312,780.0970560636919,750.085971126845,774.2761716641197,4090429
2021-02-23,754.7617797851562,766.4036064299094,752.3284612500429,758.6264690165273,3264477
2021-02-24,752.9486694335938,761.584594118373,740.7343180913682,757.672204269947,1587082
2021-02-25,772.129150390625,776.7572260448239,754.2847159816104,758.6265291224017,5478169
2021-02-26,751.040283203125,782.4827416026349,744.31285176836,768.1690329147818,7549015
2021-03-01,753.6643676757812,763.8748235617962,746.2212517493125,758.6264643743011,2748271
2021-03-02,774.6578979492188,777.711500766398,754.6187059049312,756.3363392887728,4275166
2021-03-03,775.3258056640625,780.7173253328067,770.6499713543928,780.5264642551954,3265559
2021-03-04,769.8389282226562,780.5742092173942,766.9284859126082,770.4592121994029,3640996
2021-03-05,768.3121337890625,774.8487036198399,763.6362993494789,769.600344174139,3832170
2021-03-08,772.224609375,781.5285203313254,769.3141668269324,770.984099562683,2915298
2021-03-09,760.5350952148438,779.3337786020559,755.8592601655288,775.4213297413183,2783825
2021-03-10,775.2304077148438,777.4728652195936,764.3519669111929,769.1232026597023,2512573
2021-03-12,769.0755615234375,781.2422136245668,765.3062733416208,779.1428580840816,2082799
2021-03-15,768.6461181640625,771.8905819350522,753.8552865916938,770.9363347368349,2651062
2021-03-16,756.050048828125,771.5088651967334,750.9925502904505,768.264401402875,3671229
2021-03-17,736.822021484375,758.4356862848871,734.7703666440965,758.4356862848871,3246092
2021-03-18,720.5997924804688,742.8337404717151,716.4964829485555,740.4958231958319,2894624
2021-03-19,725.8480834960938,732.1460910901433,704.3297646907453,716.6395756385762,5262000
