Date,Close,High,Low,Open,Volume
2021-01-01,2227.4306640625,2242.578473602812,2161.134082373259,2167.921034927688,210803
2021-01-04,2221.626953125,2261.365511554901,2214.9382206774962,2237.7583900771638,324319
2021-01-05,2213.5126953125,2232.8409359915136,2208.2994063317988,2225.955523413566,343002
2021-01-06,2192.6591796875,2252.5131738359305,2179.921216536766,2223.3486342585306,640965
2021-01-07,2151.789794921875,2222.709397264415,2144.3141083945934,2204.315558216644,711511
2021-01-08,2301.3505859375,2320.3839287186356,2156.9538468379196,2161.035816615024,831643
2021-01-11,2294.21923828125,2360.7127432744614,2246.611627349529,2325.2035930367274,336860
2021-01-12,2248.332763671875,2293.8256611102756,2243.463842137017,2293.8256611102756,328349
2021-01-13,2219.61083984375,2266.13659767419,2214.69268870193,2252.5132229537085,413318
2021-01-14,2202.69287109375,2219.4635775938204,2181.8889436808454,2213.1684389806,251062
2021-01-15,2202.00341796875,2260.3819602137955,2182.7244121769522,2203.331414655745,297883
2021-01-18,2167.478759765625,2205.6926557285983,2133.4450527501563,2202.004041824211,318348
2021-01-19,2193.692138671875,2212.6270210115704,2168.904704365095,2174.01953364362,207879
2021-01-20,2182.330810546875,2208.249559564197,2167.084544099995,2193.9869232106644,244528
2021-01-21,2180.216796875,2206.9222663644473,2175.7904600439883,2188.872792484474,268787
2021-01-22,2119.526611328125,2185.872426810782,2114.8051378752084,2179.724737456494,352362
2021-01-25,2095.525634765625,2128.083889709032,2028.8357008248404,2118.739403019762,227396
2021-01-27,2059.13134765625,2115.050820123141,2034.1472368397422,2095.1323087372584,204925
2021-01-28,2035.7705078125,2047.7217609449654,1996.769659534903,2041.0330263718836,200506
2021-01-29,1985.654541015625,2081.706188852135,1954.9653221012761,2051.9513707421656,509795
2021-02-01,1966.5228271484375,2015.409203783503,1958.4571069228555,2012.5567720438578,386676
2021-02-02,2029.819580078125,2054.2626489098125,1948.5716213629426,1986.1954802812327,730737
2021-02-03,2213.3154296875,2266.2840127621707,2109.985267835473,2118.7394806813,1990754
2021-02-04,2214.84033203125,2301.5964777765957,2152.1831290009513,2231.857184507842,1232639
2021-02-05,2209.7255859375,2256.448027661084,2180.757720097704,2221.0373349863676,296164
