Date,Close,High,Low,Open,Volume
2021-01-01,1529.7099609375,1543.8430682960147,1527.1090570452777,1533.1450853742679,1003018
2021-01-04,1522.1527099609375,1537.9542581475773,1509.491798998707,1536.9727940389955,1383979
2021-01-05,1541.8310546875,1547.6217171196354,1512.92698346489,1516.3621079813527,1351709
2021-01-06,1543.4503173828125,1591.296689086066,1532.8995790072233,1548.750247133005,3312171
2021-01-07,1513.7611083984375,1540.8986143256343,1506.5473713311137,1540.8986143256343,2820445
2021-01-08,1519.8953857421875,1526.4712675486446,1493.2977307659837,1519.2084087480316,3478504
2021-01-11,1534.911865234375,1542.8617011835256,1517.0491451554271,1531.0841309454834,1425529
2021-01-12,1498.793701171875,1531.869110976031,1495.7511866304108,1531.0838918264049,2550741
2021-01-13,1477.888671875,1507.5288394143934,1467.2888117998164,1501.6400548854308,3527208
2021-01-14,1462.3323974609375,1489.7152699920218,1452.6159986533273,1480.0478725051553,2814477
2021-01-15,1449.867919921875,1481.0294067775321,1444.0282561349716,1462.3324667410836,1725346
2021-01-18,1475.6802978515625,1481.0292289196418,1432.937491201244,1439.8077394467293,2302268
2021-01-19,1491.7271728515625,1495.7511513312845,1473.1774790999068,1489.862367270925,2279346
2021-01-20,1502.9161376953125,1512.4362922608557,1491.7274221492464,1491.7274221492464,1838240
2021-01-21,1489.175537109375,1521.1221218998214,1484.0228505488872,1504.6825981115985,1558030
2021-01-22,1463.55908203125,1506.2527664149757,1459.4369811172478,1493.7882214259928,1364197
2021-01-25,1472.048828125,1484.7588594285294,1451.3399606780333,1477.152513058112,1604484
2021-01-27,1413.9952392578125,1477.1034269502316,1405.4565497626124,1477.1034269502316,2021747
2021-01-28,1423.220947265625,1427.4902917785773,1389.4095597988546,1393.678904311807,1850239
2021-01-29,1393.9735107421875,1442.0161305689046,1389.0170691084854,1429.0117312290795,2435997
2021-02-01,1473.7174072265625,1480.5876556466117,1397.2613329904923,1411.1490734011163,2215933
2021-02-02,1457.915771484375,1507.5288287117075,1454.5297683273116,1486.9180830066646,1974202
2021-02-03,1496.8800048828125,1500.6586177285167,1464.344445814877,1464.344445814877,1853072
2021-02-04,1485.5439453125,1511.454619900897,1460.5166123206345,1501.63997951193,2728965
2021-02-05,1481.4708251953125,1510.424013944189,1476.6126261927016,1490.402243672418,1344007
2021-02-08,1513.1231689453125,1535.8440870305349,1482.0599257410934,1485.9366610486502,2683198
