Date,Close,High,Low,Open,Volume,volume_missing,delivery_pct,nse_traded_qty,ticker,sector,is_fno,trading_day,month,year,typical_price,daily_range,daily_range_pct
2021-01-01,1086.0972900390625,1090.4487871704575,1082.0905888370053,1083.9000837645226,4253550,0,0.2562534823853017,4253550.0,INFY.NS,IT,True,4,1,2021,1086.2122220155086,8.358198333452265,0.007695625806369202
2021-01-04,1110.052001953125,1111.559932093562,1086.7006476724723,1093.464770408318,7208454,0,0.4637803057354601,7208454.0,INFY.NS,IT,True,0,1,2021,1102.7708605730531,24.859284421089797,0.022394702570104952
2021-01-05,1114.833984375,1119.3146475877952,1098.6775951199795,1104.666187996577,8145280,0,0.4108762375265184,8145280.0,INFY.NS,IT,True,1,1,2021,1110.9420756942582,20.637052467815693,0.0185113234410281
2021-01-06,1104.7523193359375,1121.89965460223,1092.6458615964775,1120.1763064384784,7161715,0,0.3882924690524546,7161715.0,INFY.NS,IT,True,2,1,2021,1106.4326118448816,29.253793005752414,0.026479956179984995
2021-01-07,1087.562255859375,1118.1516939897044,1081.8321006374272,1116.7299103354087,10954918,0,0.49197237259101345,10954918.0,INFY.NS,IT,True,3,1,2021,1095.8486834955022,36.31959335227725,0.03339541544091015
2021-01-08,1130.602783203125,1134.6527153635936,1101.4351303405997,1101.4351303405997,13186251,0,0.4287323212640196,13186251.0,INFY.NS,IT,True,4,1,2021,1122.2302096357728,33.217585022993944,0.029380420353189638
2021-01-11,1185.8359375,1191.99692878399,1154.6433749666262,1156.4528696665477,20528626,0,0.31345410063001783,20528626.0,INFY.NS,IT,True,0,1,2021,1177.492080416872,37.35355381736372,0.03149976538585357
2021-01-12,1182.0015869140625,1187.3870506780231,1171.8769150378166,1187.3870506780231,8309868,0,0.4398411623385594,8309868.0,INFY.NS,IT,True,1,1,2021,1180.4218508766342,15.5101356402065,0.01312192454893393
2021-01-13,1195.271484375,1200.1399650362782,1171.8770069132547,1183.8111745128651,14442997,0,0.4493689225304139,14442997.0,INFY.NS,IT,True,2,1,2021,1189.0961521081776,28.26295812302351,0.023645639080733222
2021-01-14,1180.9244384765625,1192.5570396581995,1136.074256291206,1171.8768597797336,27521697,0,0.3768077964087752,27521697.0,INFY.NS,IT,True,3,1,2021,1169.8519114753226,56.482783366993544,0.047829295022345786
2021-01-15,1158.90869140625,1175.7113385699836,1154.6434461232384,1171.8769303937345,15018441,0,0.5395737813265704,15018441.0,INFY.NS,IT,True,4,1,2021,1163.0878253664907,21.06789244674519,0.018179078820421014
2021-01-18,1130.559814453125,1154.6435692146697,1125.3466428316106,1152.9202206039013,8861765,0,0.4472418304931354,8861765.0,INFY.NS,IT,True,0,1,2021,1136.850008833135,29.296926383059144,0.02591364561921093
2021-01-19,1134.5234375,1146.8884421161997,1130.5166311468472,1137.410025239206,5585744,0,0.46098371139099825,5585744.0,INFY.NS,IT,True,1,1,2021,1137.3095035876822,16.37181096935251,0.014430562144603126
2021-01-20,1154.1693115234375,1161.88135769805,1137.883755458531,1137.883755458531,8225838,0,0.38884646160062963,8225838.0,INFY.NS,IT,True,2,1,2021,1151.3114748933394,23.997602239518983,0.020792098698104805
2021-01-21,1154.385009765625,1172.781840093079,1150.3351826571766,1163.260297069055,6142421,0,0.4938609711056927,6142421.0,INFY.NS,IT,True,3,1,2021,1159.1673441719602,22.446657435902353,0.0194446889434745
2021-01-22,1155.375732421875,1168.4301164859517,1143.053855513784,1143.441566797093,9646591,0,0.6129869090541934,9646591.0,INFY.NS,IT,True,4,1,2021,1155.6199014738702,25.376260972167756,0.021963643739491185
2021-01-25,1141.8045654296875,1161.4507810538796,1131.378327696567,1158.9519046092023,6542611,0,0.5830873943139826,6542611.0,INFY.NS,IT,True,0,1,2021,1144.8778913933781,30.072453357312497,0.02633765380504985
