Date,Close,High,Low,Open,Volume,volume_missing,delivery_pct,nse_traded_qty,ticker,sector,is_fno,trading_day,month,year,typical_price,daily_range,daily_range_pct
2021-01-01,253.2423095703125,253.7861425507344,248.7104141676208,249.16360370789,24531791,0,0.19498951381087504,24531791.0,SBIN.NS,Banking,True,4,1,2021,251.91295542955592,5.0757283831136135,0.020042971459728935
2021-01-04,254.73782348632807,257.3210093367652,251.74678365560752,255.46294332987725,31450608,0,0.20734816954890029,31450608.0,SBIN.NS,Banking,True,0,1,2021,254.60187215956694,5.574225681157685,0.021882206595271694
2021-01-05,255.3723602294922,256.00683678494573,251.0670586817013,252.01874585438128,27393072,0,0.1819767786541064,27393072.0,SBIN.NS,Banking,True,1,1,2021,254.14875189871307,4.939778103244436,0.019343432855479226
2021-01-06,258.3633117675781,262.07947103975795,255.0550340920426,256.5052459617336,40765708,0,0.15212175390158808,40765708.0,SBIN.NS,Banking,True,2,1,2021,258.4992722997929,7.024436947715344,0.02718821375859464
2021-01-07,260.7652587890625,264.4813906949815,260.1307824019338,261.94354046745246,30546600,0,0.2802424165046192,30546600.0,SBIN.NS,Banking,True,3,1,2021,261.7924772953259,4.350608293047685,0.01668400274350567
2021-01-08,259.2244567871094,264.11889904050054,258.4993644756806,262.940617119304,32543357,0,0.22360154792881387,32543357.0,SBIN.NS,Banking,True,4,1,2021,260.6142401010968,5.619534564819958,0.021678257655430466
2021-01-11,256.05206298828125,261.21843426144494,253.4235694666945,261.03714740044245,29703173,0,0.29964455312568794,29703173.0,SBIN.NS,Banking,True,0,1,2021,256.8980222388069,7.794864794750453,0.03044249948147147
2021-01-12,265.1158752441406,266.33949250813544,251.88273542635145,253.786136985844,44307145,0,0.3336427792853726,44307145.0,SBIN.NS,Banking,True,1,1,2021,261.11270105954253,14.45675708178399,0.054529956263354704
2021-01-13,278.0770874023437,279.1647533497221,266.9286359139389,268.2882045179148,78042133,0,0.20147541328733287,78042133.0,SBIN.NS,Banking,True,2,1,2021,274.7234922220016,12.236117435783228,0.044002609312715706
2021-01-14,278.4849853515625,280.2977435963245,275.3579663151498,277.98648789845123,40123498,0,0.29188783590104733,40123498.0,SBIN.NS,Banking,True,3,1,2021,278.04689842101226,4.939777281174713,0.01773803810262404
2021-01-15,275.4033203125,281.7932824890508,273.0920367993345,278.07712230630244,35307601,0,0.20659069983259412,35307601.0,SBIN.NS,Banking,True,4,1,2021,276.7628798669618,8.701245689716302,0.03159455623063296
2021-01-18,266.88336181640625,279.7539296340365,264.8440086522274,275.08608236812665,54969750,0,0.257515469872066,54969750.0,SBIN.NS,Banking,True,0,1,2021,270.49376670089003,14.909920981809137,0.055866805934743635
2021-01-19,270.644775390625,274.17964796451537,268.6507305230499,269.7837042749694,35803901,0,0.2819439702953039,35803901.0,SBIN.NS,Banking,True,1,1,2021,271.1583846260634,5.528917441465467,0.02042868713606428
2021-01-20,274.2249755859375,276.17371270788016,269.0586315016661,270.826054085564,33759304,0,0.22036905737156193,33759304.0,SBIN.NS,Banking,True,2,1,2021,273.1524399318279,7.115081206214029,0.025946145827932737
2021-01-21,267.245849609375,276.58154210290587,264.2094744735498,275.5392118008889,29995203,0,0.20568545577104447,29995203.0,SBIN.NS,Banking,True,3,1,2021,269.3456220619435,12.372067629356081,0.046294704473203045
2021-01-22,257.1397399902344,270.1009489600251,255.96143066357627,267.8350014016356,44440810,0,0.28191781382922587,44440810.0,SBIN.NS,Banking,True,4,1,2021,261.0673732046119,14.139518296448841,0.05498768217229212
2021-01-25,254.64720153808597,261.03716268545986,251.11230116499252,257.8648360556018,34034630,0,0.17992274339400782,34034630.0,SBIN.NS,Banking,True,0,1,2021,255.59888846284608,9.924861520467346,0.03897494832270107
2021-01-27,249.8433837890625,258.1820822530594,247.1695821430319,253.96742513199877,39211107,0,0.23351768671055373,39211107.0,SBIN.NS,Banking,True,2,1,2021,251.7316827283846,11.012500110027474,0.044077613515373676
2021-01-28,255.91612243652344,256.8225014586748,244.26914646978045,246.4444505908451,48717297,0,0.24076085337821596,48717297.0,SBIN.NS,Banking,True,3,1,2021,252.3359234549929,12.55335498889437,0.049052614854337914
2021-01-29,255.68955993652344,263.43909048933256,252.97042252704716,258.8618869142458,42300984,0,0.23416140863295284,42300984.0,SBIN.NS,Banking,True,4,1,2021,257.3663576509677,10.468667962285394,0.040942883881861694
2021-02-01,281.61199951171875,284.51239605681866,256.2786924156308,258.40868884844326,103414068,0,0.2845684302835858,103414068.0,SBIN.NS,Banking,True,0,2,2021,274.1343626613894,28.233703641187844,0.10025745951927362
2021-02-02,301.9149169921875,305.8123364872149,285.5094479433434,285.5094479433434,121434166,0,0.26424774062350787,121434166.0,SBIN.NS,Banking,True,1,2,2021,297.7455671409153,20.302888543871518,0.06724705339549979
2021-02-03,304.4980163574219,308.0781965788335,295.2982479759378,302.5039716226049,66420168,0,0.20401821326317632,66420168.0,SBIN.NS,Banking,True,2,2,2021,302.6248203040644,12.779948602895729,0.04197054797195965
2021-02-04,321.855224609375,324.4837184727254,300.10212616427606,303.09316613627914,145203439,0,0.18377694208743914,145203439.0,SBIN.NS,Banking,True,3,2,2021,315.4803564154588,24.381592308449342,0.07575329043684306
2021-02-05,356.297607421875,370.1198878309798,349.0918829640788,350.7686897261344,214955688,0,0.18781615585813202,214955688.0,SBIN.NS,Banking,True,4,2,2021,358.5031260723112,21.02800486690097,0.059018091698838475
2021-02-08,359.8777770996094,369.62135151784616,357.7931164278115,360.7388482286738,79389205,0,0.22178705530556705,79389205.0,SBIN.NS,Banking,True,0,2,2021,362.43074834842236,11.828235090034639,0.03286736731943507
2021-02-09,357.83843994140625,365.7239487861223,352.581452485258,359.6058901633061,63869990,0,0.18786332986743853,63869990.0,SBIN.NS,Banking,True,1,2,2021,358.7146137375955,13.142496300864309,0.03672745807581854
2021-02-10,355.5271911621094,360.6482273892608,351.6750801042662,357.1586624282923,54163507,0,0.20581721194678182,54163507.0,SBIN.NS,Banking,True,2,2,2021,355.95016621854546,8.973147284994582,0.025238990175868448
2021-02-11,353.6237487792969,359.7871423570537,351.9016342724571,355.1192685441711,36392708,0,0.14612410815924992,36392708.0,SBIN.NS,Banking,True,3,2,2021,355.10417513626925,7.885508084596609,0.022299147361615975
2021-02-12,356.3429260253906,361.9624873265371,349.4544395576771,354.39421655596686,53589755,0,0.1410574838418276,53589755.0,SBIN.NS,Banking,True,4,2,2021,355.9199509698683,12.508047768859967,0.03510115356679966
2021-02-15,368.8509521484375,371.1168996916506,358.6541882039782,360.28565937089473,56608937,0,0.25905731103906793,56608937.0,SBIN.NS,Banking,True,0,2,2021,366.20734668135543,12.46271148767238,0.033787933622188356
2021-02-16,364.6816101074219,376.82708363909694,362.8235164901756,373.4281622593096,80365431,0,0.2228693951756446,80365431.0,SBIN.NS,Banking,True,1,2,2021,368.1107367455648,14.00356714892132,0.03839943326123953
2021-02-17,373.20159912109375,376.01137989854897,362.6875958966943,365.2707818962982,74161370,0,0.17706562055150815,74161370.0,SBIN.NS,Banking,True,2,2,2021,370.63352497211235,13.323784001854676,0.03570130469224349
2021-02-18,376.3285827636719,387.6583205918112,374.9690142242952,385.25639404385146,67154539,0,0.235966745300716,67154539.0,SBIN.NS,Banking,True,3,2,2021,379.6519725265928,12.689306367515996,0.033718688796712186
2021-02-19,362.1436767578125,376.1472417623159,358.0196638460597,376.1472417623159,66155518,0,0.23486897948558122,66155518.0,SBIN.NS,Banking,True,4,2,2021,365.43686078872935,18.1275779162562,0.0500563148818396
2021-02-22,353.0346374511719,363.4579964516558,349.5450726015199,363.0954503663463,52535049,0,0.22843897985133696,52535049.0,SBIN.NS,Banking,True,0,2,2021,355.34590216811586,13.912923850135883,0.039409515028281536
2021-02-23,358.5635681152344,362.27972786015135,352.5814606795746,355.30059790846593,45462768,0,0.23573991359259075,45462768.0,SBIN.NS,Banking,True,1,2,2021,357.8082522183201,9.69826718057675,0.027047553189954707
2021-02-24,368.2165222167969,372.0686335261418,358.2010438766984,359.832515249399,39632090,0,0.26998934449331335,39632090.0,SBIN.NS,Banking,True,2,2,2021,366.16206653987905,13.867589649443403,0.03766150841346143
2021-02-25,369.1228637695313,376.056657888352,368.4883873777989,372.5217851670408,46988836,0,0.23168541565915785,46988836.0,SBIN.NS,Banking,True,3,2,2021,371.2226363452274,7.568270510553077,0.020503391291628217
2021-02-26,353.6237487792969,363.4579661126988,350.7686605626295,362.0983976609056,64450414,0,0.3332838637778184,64450414.0,SBIN.NS,Banking,True,4,2,2021,355.9501251515417,12.689305550069264,0.03588363506091582
2021-03-01,357.97442626953125,360.4669687225372,354.39421786374334,358.11037759850547,29677890,0,0.1972980221976697,29677890.0,SBIN.NS,Banking,True,0,3,2021,357.6118709519373,6.072750858793881,0.01696420306354929
2021-03-02,357.2946472167969,362.1437532046274,353.98634142032154,358.0197394223151,30534337,0,0.23261310700802182,30534337.0,SBIN.NS,Banking,True,1,3,2021,357.80824728058195,8.15741178430585,0.02283104952131049
2021-03-03,367.12884521484375,370.6184102992803,358.9261253832874,359.379314935539,46268223,0,0.30138503482184736,46268223.0,SBIN.NS,Banking,True,2,3,2021,365.55779363247046,11.6922849159929,0.0318479059011301
2021-03-04,358.60888671875,365.72396821235327,357.5212483909954,361.37335958034487,43603653,0,0.40182592041084264,43603653.0,SBIN.NS,Banking,True,3,3,2021,360.61803444069955,8.202719821357846,0.022873721553339752
2021-03-05,347.7323303222656,358.019738465982,342.7019374662452,358.019738465982,72179228,0,0.3172222346296084,72179228.0,SBIN.NS,Banking,True,4,3,2021,349.4846687514976,15.31780099973679,0.04405055171470772
2021-03-08,353.12530517578125,356.56953471385725,349.9076427536754,352.0829747361394,39147858,0,0.29174717554150725,39147858.0,SBIN.NS,Banking,True,0,3,2021,353.2008275477713,6.661891960181833,0.018865518450640714
2021-03-09,351.31256103515625,357.9291177087604,346.4634270924756,356.6148845489193,28054083,0,0.16200650721679266,28054083.0,SBIN.NS,Banking,True,1,3,2021,351.9017019454641,11.465690616284746,0.03263672264521553
2021-03-10,351.4031677246094,356.2069656114055,349.59040962989485,354.4848509535254,22677399,0,0.2775574041802589,22677399.0,SBIN.NS,Banking,True,2,3,2021,352.4001809886366,6.616555981510658,0.01882895940965443
2021-03-12,345.4210510253906,356.3882427303278,342.1580810121169,355.0286741965049,35336355,0,0.28713176557118014,35336355.0,SBIN.NS,Banking,True,4,3,2021,347.9891249226118,14.230161718210923,0.041196567713427855
2021-03-15,347.9589233398437,349.8623249402705,334.77111878776964,346.68999815972404,42722585,0,0.2234347391904534,42722976.0,SBIN.NS,Banking,True,0,3,2021,344.19745568929466,15.091206152500888,0.04337065423599338
2021-03-16,343.1097717285156,351.5391133280401,340.88915969492854,349.4997605046783,38196452,0,0.22223676691227762,38196452.0,SBIN.NS,Banking,True,1,3,2021,345.17934825049474,10.64995363311158,0.031039493802404197
2021-03-17,333.6834411621094,344.1068002195137,331.7800396282238,342.7925671955283,33143064,0,0.26657592671576774,33143064.0,SBIN.NS,Banking,True,2,3,2021,336.5234270032823,12.326760591289883,0.036941481268473624
2021-03-18,332.73175048828125,339.89213935867195,327.2934762585425,336.7198127246577,39405038,0,0.26311006222097794,39405038.0,SBIN.NS,Banking,True,3,3,2021,333.3057887018319,12.598663100129443,0.03786432488525968
