Date,Close,High,Low,Open,Volume,volume_missing,delivery_pct,nse_traded_qty,ticker,sector,is_fno,trading_day,month,year,typical_price,daily_range,daily_range_pct
2021-01-01,2521.07373046875,2531.189880501366,2478.671995225657,2479.532944164604,2681440,0,0.18796243809296498,2681440.0,TCS.NS,IT,True,4,1,2021,2510.3118687319243,52.51788527570898,0.020831554682831186
2021-01-04,2616.81103515625,2626.53979955319,2532.00757035055,2539.7991997646186,5113293,0,0.23122770394733883,5113293.0,TCS.NS,IT,True,0,1,2021,2591.7861350199964,94.53222920263988,0.03612497346297508
2021-01-05,2662.9150390625,2681.210203815193,2616.9404503021897,2616.9404503021897,5801309,0,0.2679653850536146,5801309.0,TCS.NS,IT,True,1,1,2021,2653.688564393294,64.26975351300325,0.02413511229995153
2021-01-06,2627.186279296875,2680.5651255418056,2614.8746646566897,2668.942312246538,3726716,0,0.2830483997170699,3726716.0,TCS.NS,IT,True,2,1,2021,2640.8753564984568,65.69046088511595,0.025004112347411074
2021-01-07,2611.08642578125,2652.4550713343,2583.062491039336,2647.418435112393,3717827,0,0.40103291519481676,3717827.0,TCS.NS,IT,True,3,1,2021,2615.5346627182953,69.39258029496432,0.02657613306468847
2021-01-08,2686.93603515625,2693.048858009485,2634.5043176179747,2660.3327913201115,5879039,0,0.29848449721119386,5879039.0,TCS.NS,IT,True,4,1,2021,2671.49640359457,58.544540391510054,0.021788587307440533
2021-01-11,2734.76171875,2780.865584960239,2709.019424811484,2780.865584960239,9508039,0,0.33169205553321773,9508039.0,TCS.NS,IT,True,0,1,2021,2741.5489095072408,71.84616014875519,0.02627145160624616
2021-01-12,2733.384765625,2763.6470471892667,2711.9900930361964,2734.7621582868046,3611458,0,0.45877371410660184,3611458.0,TCS.NS,IT,True,1,1,2021,2736.3406352834877,51.656954153070274,0.01889853005793668
2021-01-13,2719.69482421875,2735.234995837024,2691.5418337222204,2733.513097822647,3572801,0,0.5198299597430699,3572801.0,TCS.NS,IT,True,2,1,2021,2715.490551259332,43.69316211480373,0.016065465038841212
2021-01-14,2804.0126953125,2817.641617749543,2691.61751993429,2721.4631268941703,6931542,0,0.4424781671956976,6931542.0,TCS.NS,IT,True,3,1,2021,2771.0906109987777,126.02409781525284,0.0449441965886705
