SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 11-Nov-2022,92.1,93.5,97.4,92.2,94.0,95.4,94.65,237768,225.04,3808, 112060, 47.13,0.4712997543824232,2022-11-11
21STCENMGM, EQ, 11-Nov-2022,23.6,23.7,24.05,23.15,23.15,23.2,23.41,19090,4.47,185, 10806, 56.61,0.5660555264536407,2022-11-11
3IINFOLTD, EQ, 11-Nov-2022,42.3,42.95,44.3,42.8,43.55,43.6,43.59,658369,286.99,3928, 325968, 49.51,0.4951144419011223,2022-11-11
3MINDIA, EQ, 11-Nov-2022,23564.0,23950.0,24100.0,23577.1,23577.1,23680.85,23846.39,5242,1250.03,2888, 2915, 55.61,0.5560854635635254,2022-11-11
3PLAND, EQ, 11-Nov-2022,17.1,17.15,17.7,17.0,17.0,17.0,17.22,7375,1.27,130, 4355, 59.05,0.5905084745762712,2022-11-11
4THDIM, EQ, 11-Nov-2022,87.05,85.5,85.5,85.35,85.35,85.35,85.36,505,0.43,35, 505, 100.00,1.0,2022-11-11
5PAISA, EQ, 11-Nov-2022,314.6,319.45,322.0,316.0,316.55,318.55,318.76,33787,107.7,977, 6530, 19.33,0.19326960073401012,2022-11-11
63MOONS, EQ, 11-Nov-2022,154.8,157.75,159.5,155.0,156.5,155.45,157.24,36287,57.06,1029, 21454, 59.12,0.5912310193733293,2022-11-11
A2ZINFRA, EQ, 11-Nov-2022,11.3,11.55,11.75,11.05,11.05,11.2,11.34,907520,102.95,1048, 611191, 67.35,0.6734738628349789,2022-11-11
AAKASH, EQ, 11-Nov-2022,11.05,11.15,11.35,10.5,10.5,10.5,10.56,1280300,135.16,1505, 631164, 49.30,0.49298133250019527,2022-11-11
AAREYDRUGS, EQ, 11-Nov-2022,39.25,39.7,40.2,38.65,38.7,38.95,39.52,39142,15.47,342, 23410, 59.81,0.5980787900464973,2022-11-11
AARON, BE, 11-Nov-2022,158.55,158.55,165.0,154.1,163.0,162.45,160.41,5798,9.3,188, -, -,,2022-11-11
AARTIDRUGS, EQ, 11-Nov-2022,464.65,467.2,472.0,464.65,465.0,465.05,465.59,51177,238.28,2268, 32404, 63.32,0.633175059108584,2022-11-11
AARTIIND, EQ, 11-Nov-2022,708.2,716.3,721.65,712.0,714.0,715.8,717.34,345447,2478.02,10499, 141733, 41.03,0.41028869841104426,2022-11-11
AARTISURF, EQ, 11-Nov-2022,732.05,742.45,745.0,730.0,735.2,733.1,734.57,6462,47.47,722, 4420, 68.40,0.683998761993191,2022-11-11
AARVEEDEN, EQ, 11-Nov-2022,24.95,25.1,25.65,24.6,25.1,24.8,24.79,17443,4.32,110, 10076, 57.77,0.5776529266754572,2022-11-11
AARVI, EQ, 11-Nov-2022,150.65,149.4,158.9,149.35,154.9,155.45,153.77,25458,39.15,545, 11194, 43.97,0.4397046115170084,2022-11-11
AAVAS, EQ, 11-Nov-2022,2010.3,2020.4,2070.0,1982.2,2001.0,2008.65,2043.14,94302,1926.72,18327, 51373, 54.48,0.544771054696613,2022-11-11
ABAN, EQ, 11-Nov-2022,50.0,51.9,51.9,49.6,50.0,49.7,50.04,117428,58.77,1698, 77722, 66.19,0.6618694008243349,2022-11-11
ABB, EQ, 11-Nov-2022,3166.9,3200.0,3222.0,3105.1,3139.9,3155.85,3151.56,692497,21824.46,63536, 313690, 45.30,0.45298391184366144,2022-11-11
ABBOTINDIA, EQ, 11-Nov-2022,19238.85,19449.0,19550.0,19150.0,19201.0,19315.8,19390.07,7385,1431.96,3464, 2590, 35.07,0.35071090047393366,2022-11-11
ABCAPITAL, EQ, 11-Nov-2022,129.25,130.95,131.2,127.65,128.75,128.45,129.12,3034526,3918.24,18016, 1258383, 41.47,0.4146884884163128,2022-11-11
ABFRL, EQ, 11-Nov-2022,313.7,315.3,320.0,312.1,318.6,318.9,316.27,3160442,9995.46,34342, 1186692, 37.55,0.3754829229582444,2022-11-11
ABMINTLLTD, BE, 11-Nov-2022,70.0,72.1,72.1,68.8,68.8,68.8,70.25,339,0.24,10, -, -,,2022-11-11
ABSLAMC, EQ, 11-Nov-2022,419.75,422.1,431.0,419.55,431.0,429.25,423.82,169642,718.97,3213, 145285, 85.64,0.856421169285908,2022-11-11
ABSLBANETF, EQ, 11-Nov-2022,41.55,42.0,42.58,41.95,42.2,42.18,42.33,528575,223.74,278, 318445, 60.25,0.6024594428416025,2022-11-11
ABSLNN50ET, EQ, 11-Nov-2022,44.01,44.9,45.4,43.6,44.17,44.36,44.48,4328,1.93,61, 3998, 92.38,0.9237523105360443,2022-11-11
ACC, EQ, 11-Nov-2022,2392.25,2424.8,2433.75,2383.0,2394.0,2390.65,2408.57,276834,6667.73,12897, 94655, 34.19,0.34191970639444574,2022-11-11
ACCELYA, EQ, 11-Nov-2022,1483.65,1498.0,1514.95,1449.0,1451.35,1471.45,1479.63,113998,1686.75,10179, 66440, 58.28,0.5828172424077616,2022-11-11
ACCURACY, EQ, 11-Nov-2022,207.35,210.0,210.0,205.8,206.5,206.55,207.68,24892,51.69,915, 6683, 26.85,0.2684798328780331,2022-11-11
ACE, EQ, 11-Nov-2022,315.85,319.8,330.0,313.35,329.0,324.35,319.97,723187,2313.98,16473, 250340, 34.62,0.34616219594655323,2022-11-11
ACEINTEG, EQ, 11-Nov-2022,50.8,53.3,53.3,51.8,53.3,53.3,53.01,4321,2.29,76, 3178, 73.55,0.7354778986345754,2022-11-11
ACRYSIL, EQ, 11-Nov-2022,491.25,499.9,503.3,491.0,492.1,491.9,495.45,75001,371.59,4528, 42205, 56.27,0.5627258303222624,2022-11-11
ADANIENT, EQ, 11-Nov-2022,3992.25,4040.0,4048.95,3975.15,4006.0,4008.85,4013.71,1476875,59277.51,69136, 225580, 15.27,0.15274143038510368,2022-11-11
ADANIGREEN, EQ, 11-Nov-2022,2176.0,2207.0,2237.9,2177.2,2185.0,2196.7,2206.18,770505,16998.73,42328, 229111, 29.74,0.29735173684791144,2022-11-11
ADANIPORTS, EQ, 11-Nov-2022,893.45,905.0,907.8,890.8,894.0,894.5,899.28,8777095,78930.69,115984, 2280583, 25.98,0.25983346426123904,2022-11-11
ADANIPOWER, BE, 11-Nov-2022,371.4,376.0,378.0,353.0,357.0,360.2,364.94,3406069,12430.0,48173, -, -,,2022-11-11
ADANITRANS, EQ, 11-Nov-2022,3295.15,3324.85,3327.95,3266.05,3271.25,3292.05,3294.68,859154,28306.38,34343, 482388, 56.15,0.5614686074906245,2022-11-11
ADFFOODS, EQ, 11-Nov-2022,743.8,754.7,780.0,735.25,760.05,761.25,754.88,16794,126.78,1639, 8438, 50.24,0.5024413481005121,2022-11-11
ADL, BE, 11-Nov-2022,61.4,64.4,64.45,60.1,61.05,63.75,62.55,707,0.44,28, -, -,,2022-11-11
ADORWELD, EQ, 11-Nov-2022,782.65,785.8,825.0,782.95,821.8,819.4,800.64,42368,339.21,3526, 30477, 71.93,0.7193400679758308,2022-11-11
ADROITINFO, EQ, 11-Nov-2022,18.1,18.5,19.0,18.15,18.9,18.55,18.84,89321,16.82,270, 65380, 73.20,0.7319667267495885,2022-11-11
ADSL, EQ, 11-Nov-2022,108.4,110.9,111.0,105.25,105.3,107.35,108.03,141367,152.72,2696, 80816, 57.17,0.5716751434210247,2022-11-11
ADVANIHOTR, EQ, 11-Nov-2022,83.0,84.0,84.55,82.5,84.25,83.7,83.28,27787,23.14,539, 17688, 63.66,0.6365566631878217,2022-11-11
ADVENZYMES, EQ, 11-Nov-2022,292.35,293.85,300.0,282.15,285.0,284.6,289.25,207274,599.55,9024, 52090, 25.13,0.2513098603780503,2022-11-11
AEGISCHEM, EQ, 11-Nov-2022,316.95,321.0,328.95,317.5,321.85,322.75,324.08,1305901,4232.18,28411, 528892, 40.50,0.40500160425637166,2022-11-11
AETHER, EQ, 11-Nov-2022,889.1,898.0,913.95,878.0,879.35,882.15,888.55,40957,363.92,4459, 27825, 67.94,0.6793710476841566,2022-11-11
AFFLE, EQ, 11-Nov-2022,1182.4,1201.0,1270.0,1181.05,1257.0,1262.95,1238.62,1070162,13255.29,65460, 451774, 42.22,0.42215477656653855,2022-11-11
AGARIND, EQ, 11-Nov-2022,644.0,653.8,657.95,632.0,639.0,635.3,642.49,48374,310.8,3666, 25987, 53.72,0.5372100715260264,2022-11-11
AGI, EQ, 11-Nov-2022,316.6,319.9,321.95,314.0,315.0,315.4,316.83,80740,255.81,3677, 32524, 40.28,0.40282387911815704,2022-11-11
AGRITECH, EQ, 11-Nov-2022,98.95,102.0,106.0,98.25,99.5,99.1,100.71,8162,8.22,316, 4920, 60.28,0.6027934329821122,2022-11-11
AGROPHOS, EQ, 11-Nov-2022,38.6,38.6,40.0,37.5,39.8,38.9,38.66,81578,31.54,836, 37138, 45.52,0.4552452867194587,2022-11-11
AGSTRA, EQ, 11-Nov-2022,79.15,80.0,80.5,77.8,78.4,78.3,78.68,279552,219.94,4016, 165148, 59.08,0.5907595009157509,2022-11-11
AHLADA, BE, 11-Nov-2022,106.65,104.55,110.0,102.05,104.15,104.4,105.43,3074,3.24,62, -, -,,2022-11-11
AHLEAST, BE, 11-Nov-2022,130.75,131.7,131.7,127.0,128.55,129.1,129.27,3722,4.81,74, -, -,,2022-11-11
AHLUCONT, EQ, 11-Nov-2022,425.6,430.0,434.0,413.0,416.1,418.7,417.99,12687,53.03,1180, 6322, 49.83,0.49830535193505165,2022-11-11
AIAENG, EQ, 11-Nov-2022,2629.45,2642.6,2684.9,2570.0,2584.0,2593.55,2600.77,33620,874.38,7840, 17758, 52.82,0.52819750148721,2022-11-11
AIRAN, EQ, 11-Nov-2022,17.35,17.45,17.45,17.2,17.4,17.3,17.31,161356,27.92,507, 103298, 64.02,0.6401869158878505,2022-11-11
AIROLAM, EQ, 11-Nov-2022,103.6,105.1,106.7,102.2,103.8,103.7,104.63,31717,33.19,627, 18733, 59.06,0.5906296307973642,2022-11-11
AJANTPHARM, EQ, 11-Nov-2022,1254.0,1260.3,1269.8,1245.75,1256.45,1257.75,1260.31,93745,1181.48,10824, 23651, 25.23,0.25229078884207157,2022-11-11
AJMERA, EQ, 11-Nov-2022,241.4,277.0,286.0,266.2,271.0,272.9,276.21,726317,2006.16,18967, 175778, 24.20,0.24201278505115534,2022-11-11
AJOONI, EQ, 11-Nov-2022,7.65,8.0,8.0,7.55,7.75,7.65,7.76,428528,33.25,735, 149067, 34.79,0.3478582496359631,2022-11-11
AJRINFRA, EQ, 11-Nov-2022,1.5,1.5,1.55,1.45,1.5,1.45,1.49,750846,11.19,543, 661961, 88.16,0.8816201990821021,2022-11-11
AKASH, EQ, 11-Nov-2022,35.5,36.9,36.9,34.0,34.7,34.6,34.88,48489,16.91,339, 32610, 67.25,0.6725236651611706,2022-11-11
AKG, BE, 11-Nov-2022,57.45,57.6,59.75,55.1,58.95,58.9,58.43,118997,69.53,131, -, -,,2022-11-11
AKSHAR, EQ, 11-Nov-2022,40.35,42.35,42.35,38.55,40.5,40.3,40.84,306750,125.28,1739, 165163, 53.84,0.5384286878565607,2022-11-11
AKSHARCHEM, EQ, 11-Nov-2022,317.45,322.05,324.95,292.65,298.7,298.05,303.36,30368,92.12,1973, 12965, 42.69,0.42692966280295047,2022-11-11
AKSHOPTFBR, EQ, 11-Nov-2022,10.35,10.5,10.5,10.2,10.25,10.25,10.32,178474,18.43,445, 136435, 76.45,0.7644530856035052,2022-11-11
AKZOINDIA, EQ, 11-Nov-2022,2230.45,2250.0,2275.0,2169.1,2271.95,2271.25,2262.96,39639,897.01,6320, 29280, 73.87,0.7386664648452281,2022-11-11
ALANKIT, EQ, 11-Nov-2022,11.1,11.25,11.25,11.0,11.15,11.1,11.09,139083,15.42,523, 80594, 57.95,0.5794669370088364,2022-11-11
ALBERTDAVD, EQ, 11-Nov-2022,587.7,582.05,596.4,573.0,583.55,578.6,590.31,11558,68.23,796, 8572, 74.17,0.7416508046374806,2022-11-11
ALEMBICLTD, EQ, 11-Nov-2022,73.6,74.0,75.4,72.1,72.8,72.45,73.39,198028,145.32,3973, 99321, 50.16,0.5015502858181671,2022-11-11
ALICON, EQ, 11-Nov-2022,879.1,878.8,926.8,862.25,881.0,882.95,891.12,20074,178.88,1694, 9792, 48.78,0.4877951579157119,2022-11-11
ALKALI, EQ, 11-Nov-2022,116.2,118.0,120.0,113.6,114.1,114.65,115.79,66827,77.38,2132, 38054, 56.94,0.5694404956080626,2022-11-11
ALKEM, EQ, 11-Nov-2022,3175.9,3177.9,3225.65,3078.3,3163.95,3173.45,3163.35,202694,6411.92,29092, 27910, 13.77,0.13769524504918745,2022-11-11
ALKYLAMINE, EQ, 11-Nov-2022,2871.2,2892.0,2915.95,2862.6,2869.0,2868.75,2883.32,18090,521.59,4702, 9660, 53.40,0.5339966832504146,2022-11-11
ALLCARGO, EQ, 11-Nov-2022,419.15,426.7,458.5,421.05,453.0,453.6,446.62,4595086,20522.67,62204, 1382364, 30.08,0.30083528360513817,2022-11-11
ALLSEC, EQ, 11-Nov-2022,493.9,500.0,500.0,485.0,487.0,487.15,491.23,24591,120.8,1725, 18137, 73.75,0.7375462567606035,2022-11-11
ALMONDZ, EQ, 11-Nov-2022,79.0,79.0,80.0,79.0,79.65,79.45,79.37,2446,1.94,68, 1856, 75.88,0.758789860997547,2022-11-11
ALOKINDS, BE, 11-Nov-2022,16.0,16.0,16.2,15.95,16.15,16.05,16.06,1059003,170.07,3011, -, -,,2022-11-11
ALPA, EQ, 11-Nov-2022,58.7,59.85,59.85,57.8,58.5,58.4,58.8,25049,14.73,288, 13149, 52.49,0.5249311349754481,2022-11-11
ALPHAGEO, EQ, 11-Nov-2022,278.9,284.0,287.0,280.65,283.3,282.8,284.05,7724,21.94,508, 4858, 62.89,0.6289487312273433,2022-11-11
ALPSINDUS, EQ, 11-Nov-2022,2.2,2.3,2.3,2.25,2.3,2.3,2.29,65208,1.49,89, 48471, 74.33,0.7433290393816709,2022-11-11
AMARAJABAT, EQ, 11-Nov-2022,629.15,632.0,636.55,612.5,624.5,625.05,623.34,2280250,14213.7,44746, 456431, 20.02,0.20016708694222124,2022-11-11
AMBER, EQ, 11-Nov-2022,1999.0,2047.0,2047.0,2011.5,2040.0,2037.35,2035.52,29336,597.14,4468, 15776, 53.78,0.5377692937005727,2022-11-11
AMBICAAGAR, BE, 11-Nov-2022,30.7,31.25,31.25,29.7,30.5,30.0,30.46,22347,6.81,115, -, -,,2022-11-11
AMBIKCO, EQ, 11-Nov-2022,1538.6,1555.0,1564.35,1525.0,1543.15,1539.15,1536.83,12387,190.37,3361, 6151, 49.66,0.49656898361185114,2022-11-11
AMBUJACEM, EQ, 11-Nov-2022,558.15,565.0,566.9,553.85,556.9,557.55,559.59,5254274,29402.47,81781, 2455929, 46.74,0.4674154792841028,2022-11-11
AMDIND, BE, 11-Nov-2022,79.65,78.7,80.5,77.05,78.5,78.4,78.6,34126,26.82,326, -, -,,2022-11-11
AMIORG, EQ, 11-Nov-2022,876.2,900.0,910.0,885.0,890.0,891.3,892.12,194710,1737.05,7284, 145602, 74.78,0.747789019567562,2022-11-11
AMJLAND, EQ, 11-Nov-2022,28.9,29.25,29.65,28.65,29.0,28.85,29.2,24822,7.25,149, 17658, 71.14,0.7113850616388687,2022-11-11
AMRUTANJAN, EQ, 11-Nov-2022,733.2,736.9,741.45,728.05,733.9,731.2,733.54,10060,73.79,1729, 5475, 54.42,0.544234592445328,2022-11-11
ANANDRATHI, EQ, 11-Nov-2022,705.45,713.75,713.75,704.05,708.0,707.45,706.98,14876,105.17,1302, 9385, 63.09,0.6308819575154612,2022-11-11
ANANTRAJ, EQ, 11-Nov-2022,114.65,116.0,117.75,114.3,115.9,116.6,116.12,1367831,1588.38,6451, 402239, 29.41,0.29407068563294736,2022-11-11
ANDHRAPAP, EQ, 11-Nov-2022,457.15,468.7,468.7,445.2,450.9,448.7,453.22,75025,340.03,4681, 46092, 61.44,0.6143552149283572,2022-11-11
ANDHRSUGAR, EQ, 11-Nov-2022,136.75,139.1,139.1,135.25,135.95,135.6,136.38,103494,141.14,1946, 72502, 70.05,0.7005430266488879,2022-11-11
ANDREWYU, EQ, 11-Nov-2022,20.6,20.75,20.8,20.2,20.35,20.6,20.55,104835,21.54,457, 69632, 66.42,0.6642056565078457,2022-11-11
ANGELONE, EQ, 11-Nov-2022,1475.55,1482.95,1502.85,1430.75,1437.95,1436.1,1455.13,282284,4107.61,19540, 108705, 38.51,0.38509090136174917,2022-11-11
ANIKINDS, EQ, 11-Nov-2022,41.6,41.75,42.45,41.45,41.65,41.55,41.78,56648,23.67,482, 33735, 59.55,0.5955197006072589,2022-11-11
ANKITMETAL, EQ, 11-Nov-2022,6.4,6.55,6.55,6.1,6.25,6.3,6.32,286455,18.11,437, 194047, 67.74,0.6774083189331658,2022-11-11
ANMOL, EQ, 11-Nov-2022,160.75,158.0,164.9,158.0,158.25,158.4,159.55,6229,9.94,382, 3225, 51.77,0.5177396050730454,2022-11-11
ANSALAPI, BE, 11-Nov-2022,26.1,26.1,27.4,24.8,24.8,25.25,26.26,326552,85.76,431, -, -,,2022-11-11
ANTGRAPHIC, EQ, 11-Nov-2022,0.8,0.8,0.85,0.75,0.8,0.8,0.8,1077580,8.66,472, 952611, 88.40,0.884028100001856,2022-11-11
ANUP, EQ, 11-Nov-2022,870.7,869.9,892.05,860.05,879.15,875.55,875.92,14418,126.29,1300, 9395, 65.16,0.6516160355111666,2022-11-11
ANURAS, EQ, 11-Nov-2022,746.4,756.85,756.85,742.2,746.5,745.2,746.32,53114,396.4,2960, 30632, 57.67,0.5767217682720187,2022-11-11
APARINDS, EQ, 11-Nov-2022,1406.35,1445.0,1530.0,1430.5,1495.0,1498.95,1485.68,224120,3329.71,28875, 134550, 60.03,0.6003480278422274,2022-11-11
APCL, EQ, 11-Nov-2022,210.65,211.0,217.75,210.8,212.5,212.9,213.16,16862,35.94,819, 8404, 49.84,0.4983987664571225,2022-11-11
APCOTEXIND, EQ, 11-Nov-2022,498.6,502.35,508.95,490.05,495.6,496.75,495.98,56665,281.05,4872, 26445, 46.67,0.4666901967704932,2022-11-11
APEX, EQ, 11-Nov-2022,273.45,280.0,280.0,268.35,271.0,271.25,272.78,45036,122.85,2885, 21505, 47.75,0.47750688338218317,2022-11-11
APLAPOLLO, EQ, 11-Nov-2022,1046.85,1049.95,1067.8,1029.05,1050.0,1050.35,1043.65,557815,5821.65,40994, 336553, 60.33,0.6033416096734581,2022-11-11
APLLTD, EQ, 11-Nov-2022,616.55,620.35,644.3,609.95,635.0,639.3,628.4,365196,2294.91,7751, 250948, 68.72,0.6871597717390113,2022-11-11
