SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 20-Sep-2024,304.05,306.25,314.0,300.0,301.75,301.65,308.18,289918,893.48,9570, 90076, 31.07,0.31069474817017223,2024-09-20
21STCENMGM, BE, 20-Sep-2024,123.29,120.82,120.82,120.82,120.82,120.82,120.82,3735,4.51,45, -, -,,2024-09-20
360ONE, EQ, 20-Sep-2024,1065.6,1071.0,1108.85,1046.5,1102.0,1089.25,1084.73,1348962,14632.56,61128, 932761, 69.15,0.6914657343942973,2024-09-20
3IINFOLTD, EQ, 20-Sep-2024,32.62,32.75,32.97,32.31,32.64,32.47,32.6,639803,208.56,3583, 317091, 49.56,0.4956072416040562,2024-09-20
3MINDIA, EQ, 20-Sep-2024,35245.45,35698.8,35698.8,34780.0,34825.0,34838.85,34924.84,3976,1388.61,2104, 2359, 59.33,0.5933098591549296,2024-09-20
3PLAND, BE, 20-Sep-2024,39.68,39.7,41.49,39.0,39.05,39.95,40.02,4429,1.77,87, -, -,,2024-09-20
5PAISA, EQ, 20-Sep-2024,530.7,531.05,557.5,531.05,553.0,553.0,549.62,171766,944.07,14282, 87039, 50.67,0.5067300862801719,2024-09-20
63MOONS, EQ, 20-Sep-2024,389.45,387.0,406.0,379.4,404.0,404.5,398.55,412410,1643.66,9178, 250465, 60.73,0.6073203850537087,2024-09-20
A2ZINFRA, BE, 20-Sep-2024,16.75,17.05,17.08,17.05,17.08,17.08,17.06,72199,12.31,97, -, -,,2024-09-20
AAATECH, EQ, 20-Sep-2024,142.46,147.0,149.59,140.0,141.46,141.67,144.41,142739,206.13,3666, 68941, 48.30,0.48298642977742595,2024-09-20
AADHARHFC, EQ, 20-Sep-2024,459.7,460.7,466.0,452.05,465.15,464.25,460.1,981248,4514.69,26354, 573561, 58.45,0.5845219557135403,2024-09-20
AAKASH, BE, 20-Sep-2024,12.23,12.19,12.48,12.0,12.16,12.18,12.21,138395,16.9,713, -, -,,2024-09-20
AAREYDRUGS, BE, 20-Sep-2024,66.39,66.25,68.39,66.05,66.55,67.3,67.01,46036,30.85,203, -, -,,2024-09-20
AARON, EQ, 20-Sep-2024,262.05,262.05,268.3,260.55,266.65,265.5,265.64,8129,21.59,1237, 2200, 27.06,0.2706359945872801,2024-09-20
AARTECH, EQ, 20-Sep-2024,77.23,79.85,79.85,73.36,73.36,73.36,73.98,399593,295.61,3066, 208037, 52.06,0.5206222331222018,2024-09-20
AARTIDRUGS, EQ, 20-Sep-2024,518.6,520.6,526.5,517.05,524.9,524.75,522.43,78615,410.71,5019, 24639, 31.34,0.31341347071169623,2024-09-20
