SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 29-Jun-2026,200.08,203.9,203.9,196.3,197.13,197.42,198.41,113613,225.42,3297, 43698, 38.46,0.38462147817591297,2026-06-29
21STCENMGM, EQ, 29-Jun-2026,33.2,33.86,33.86,32.54,32.54,32.6,32.81,2419,0.79,60, 2195, 90.74,0.9073997519636213,2026-06-29
360ONE, EQ, 29-Jun-2026,1085.4,1079.8,1097.0,1069.0,1090.0,1089.8,1089.04,701139,7635.65,55406, 435358, 62.09,0.6209296587409915,2026-06-29
3BBLACKBIO, EQ, 29-Jun-2026,1159.7,1159.7,1199.7,1159.7,1175.8,1173.8,1177.65,2380,28.03,395, 1241, 52.14,0.5214285714285715,2026-06-29
3IINFOLTD, EQ, 29-Jun-2026,17.29,17.11,17.51,17.11,17.24,17.24,17.24,165438,28.53,699, 128486, 77.66,0.7766414004037766,2026-06-29
3MINDIA, EQ, 29-Jun-2026,33380.0,33380.0,34275.0,32330.0,33500.0,32710.0,33097.79,10449,3458.39,6279, 4760, 45.55,0.45554598526174755,2026-06-29
3PLAND, EQ, 29-Jun-2026,31.64,32.7,32.7,30.22,32.39,31.79,31.4,3518,1.1,82, 1841, 52.33,0.5233086981239341,2026-06-29
5PAISA, EQ, 29-Jun-2026,353.6,350.45,357.9,348.35,350.0,351.05,353.19,46787,165.25,2168, 23052, 49.27,0.49270096394297563,2026-06-29
63MOONS, EQ, 29-Jun-2026,669.5,669.1,669.1,653.65,655.35,656.65,659.28,87019,573.7,2939, 46913, 53.91,0.5391121479217182,2026-06-29
A2ZINFRA, EQ, 29-Jun-2026,13.82,13.83,14.17,13.26,13.75,13.75,13.8,270776,37.37,638, 201666, 74.48,0.7447705852808225,2026-06-29
AAATECH, EQ, 29-Jun-2026,95.16,94.01,96.01,94.0,94.5,94.19,94.97,15539,14.76,1193, 3842, 24.72,0.24724885771285154,2026-06-29
AADHARHFC, EQ, 29-Jun-2026,518.5,518.5,525.9,515.0,515.05,518.75,520.82,555461,2892.97,22700, 286829, 51.64,0.516380087890959,2026-06-29
AAKASH, EQ, 29-Jun-2026,8.84,8.67,8.94,8.67,8.75,8.71,8.78,78602,6.9,351, 61740, 78.55,0.7854761965344393,2026-06-29
AAREYDRUGS, BE, 29-Jun-2026,92.5,91.02,92.0,90.65,92.0,92.0,91.25,55640,50.77,92, -, -,,2026-06-29
AARNAV, EQ, 29-Jun-2026,24.49,24.04,24.97,24.04,24.5,24.62,24.66,180135,44.42,128, 73307, 40.70,0.40695589419046824,2026-06-29
AARON, EQ, 29-Jun-2026,118.16,116.17,120.9,116.0,117.0,117.38,117.91,8859,10.45,394, 5186, 58.54,0.5853933852579298,2026-06-29
AARTECH, EQ, 29-Jun-2026,52.29,52.47,52.47,47.35,47.74,48.03,50.21,177629,89.18,2061, 78427, 44.15,0.4415213731991961,2026-06-29
AARTIDRUGS, EQ, 29-Jun-2026,372.7,372.7,379.0,370.65,375.0,373.45,374.42,87100,326.12,2848, 40533, 46.54,0.46536165327210105,2026-06-29
AARTIIND, EQ, 29-Jun-2026,466.05,466.05,467.7,455.0,457.0,457.2,459.32,919953,4225.5,30645, 580090, 63.06,0.6305648223333149,2026-06-29
AARTIPHARM, EQ, 29-Jun-2026,690.7,691.05,702.55,670.6,677.0,675.3,685.16,293330,2009.78,16389, 131342, 44.78,0.44776190638529983,2026-06-29
AARTISURF, EQ, 29-Jun-2026,373.75,373.75,379.7,369.95,371.1,370.5,371.94,2261,8.41,143, 1570, 69.44,0.6943830163644406,2026-06-29
AARVI, EQ, 29-Jun-2026,143.1,144.0,145.75,139.42,140.2,140.32,141.75,15061,21.35,538, 9168, 60.87,0.6087245202841777,2026-06-29
AAVAS, EQ, 29-Jun-2026,1489.9,1489.9,1499.0,1466.0,1489.5,1483.8,1486.22,203363,3022.41,24127, 124955, 61.44,0.6144431386240368,2026-06-29
ABAN, BE, 29-Jun-2026,13.87,13.21,13.64,13.18,13.18,13.18,13.19,192097,25.35,547, -, -,,2026-06-29
ABANSENT, BE, 29-Jun-2026,26.39,27.48,27.7,26.9,27.55,27.54,27.57,19405,5.35,86, -, -,,2026-06-29
ABB, EQ, 29-Jun-2026,6993.0,7000.0,7268.0,6886.5,7047.5,7128.0,7088.1,915384,64883.34,78883, 550641, 60.15,0.6015409926326001,2026-06-29
