SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 20-Feb-2024,154.95,156.0,159.2,154.05, 158.00,158.1,157.05,56875,89.32,3241, 27664, 48.64,0.4864,2024-02-20
21STCENMGM, BE, 20-Feb-2024,48.65,49.6,49.6,49.6, 49.60,49.6,49.6,896,0.44,11, -, -,,2024-02-20
360ONE, EQ, 20-Feb-2024,702.0,707.95,709.0,695.55, 706.00,705.5,704.72,113402,799.17,10376, 66451, 58.60,0.5859773196239926,2024-02-20
3IINFOLTD, EQ, 20-Feb-2024,53.0,53.0,54.15,52.05, 52.65,52.6,53.03,1417041,751.46,6112, 528727, 37.31,0.3731204672271303,2024-02-20
3MINDIA, EQ, 20-Feb-2024,30918.4,31111.0,31516.15,31000.0, 31350.00,31384.6,31280.21,3214,1005.35,2261, 1781, 55.41,0.5541381456129434,2024-02-20
3PLAND, BE, 20-Feb-2024,35.95,36.95,36.95,35.0, 35.00,35.2,35.74,12513,4.47,140, -, -,,2024-02-20
5PAISA, EQ, 20-Feb-2024,585.35,590.75,591.0,581.05, 590.90,588.3,585.72,28299,165.75,3767, 13150, 46.47,0.46468073076787164,2024-02-20
63MOONS, BE, 20-Feb-2024,539.95,539.95,545.45,512.95, 512.95,512.95,520.38,112469,585.27,2600, -, -,,2024-02-20
A2ZINFRA, BE, 20-Feb-2024,13.4,14.05,14.05,14.05, 14.05,14.05,14.05,401647,56.43,187, -, -,,2024-02-20
AAATECH, BE, 20-Feb-2024,92.85,92.85,96.9,91.35, 95.00,94.95,94.34,22195,20.94,159, -, -,,2024-02-20
AAKASH, BE, 20-Feb-2024,11.25,11.05,11.05,11.05, 11.05,11.05,11.05,166116,18.36,370, -, -,,2024-02-20
AAREYDRUGS, BE, 20-Feb-2024,50.5,52.3,52.3,49.5, 50.60,50.65,51.07,29297,14.96,194, -, -,,2024-02-20
AARON, EQ, 20-Feb-2024,253.95,262.0,262.0,253.1, 255.95,254.1,256.78,7174,18.42,1056, 2212, 30.83,0.3083356565374965,2024-02-20
AARTECH, EQ, 20-Feb-2024,160.6,166.0,176.65,160.6, 176.00,174.05,172.39,438009,755.08,5086, 125801, 28.72,0.28721099338141454,2024-02-20
AARTIDRUGS, EQ, 20-Feb-2024,541.15,544.0,568.0,531.3, 540.95,543.65,553.06,1234352,6826.72,48496, 233270, 18.90,0.18898174912828755,2024-02-20
AARTIIND, EQ, 20-Feb-2024,689.05,682.35,709.0,682.0, 706.30,703.9,698.05,2196654,15333.75,85720, 769305, 35.02,0.35021673873081516,2024-02-20
AARTIPHARM, EQ, 20-Feb-2024,533.45,538.8,542.6,528.05, 533.00,533.45,534.91,102554,548.58,9298, 40633, 39.62,0.396210776761511,2024-02-20
AARTISURF, EQ, 20-Feb-2024,687.1,688.15,694.2,681.0, 687.55,683.65,687.24,21923,150.66,3198, 7168, 32.70,0.3269625507457921,2024-02-20
AARVEEDEN, EQ, 20-Feb-2024,36.8,36.85,36.85,34.7, 35.25,35.05,35.52,57607,20.46,489, 41756, 72.48,0.7248424670612946,2024-02-20
AARVI, EQ, 20-Feb-2024,138.7,140.9,140.9,136.6, 137.00,137.15,137.81,12523,17.26,662, 5821, 46.48,0.46482472251058055,2024-02-20
AAVAS, EQ, 20-Feb-2024,1442.25,1450.0,1450.0,1431.2, 1434.15,1437.55,1441.8,190517,2746.88,7881, 166294, 87.29,0.872856490496911,2024-02-20
ABAN, BE, 20-Feb-2024,78.95,78.55,81.1,78.55, 80.00,79.85,80.16,72758,58.32,579, -, -,,2024-02-20
ABB, EQ, 20-Feb-2024,4488.85,4514.75,4547.0,4461.6, 4528.85,4524.5,4513.26,169172,7635.18,21705, 69165, 40.88,0.40884425318610645,2024-02-20
ABBOTINDIA, EQ, 20-Feb-2024,29526.7,29487.8,29519.0,29070.0, 29249.00,29191.05,29274.93,7538,2206.74,3287, 2889, 38.33,0.3832581586627753,2024-02-20
ABCAPITAL, EQ, 20-Feb-2024,184.55,184.55,184.65,182.45, 183.90,183.95,183.57,2599251,4771.44,16261, 1317263, 50.68,0.5067856086234073,2024-02-20
ABFRL, EQ, 20-Feb-2024,235.45,236.0,238.1,232.25, 237.00,235.2,234.73,2900531,6808.3,25876, 1389242, 47.90,0.4789612660578356,2024-02-20
ABMINTLLTD, EQ, 20-Feb-2024,58.05,58.8,63.85,56.8, 60.55,61.1,61.28,5945,3.64,154, 3345, 56.27,0.5626576955424727,2024-02-20
ABSLAMC, EQ, 20-Feb-2024,483.65,485.9,486.8,479.1, 482.00,482.15,481.55,44028,212.02,2614, 27729, 62.98,0.6298037612428454,2024-02-20
ABSLBANETF, EQ, 20-Feb-2024,46.86,47.19,47.45,46.52, 47.45,47.37,47.26,92097,43.53,807, 82368, 89.44,0.8943613798495065,2024-02-20
ABSLLIQUID, EQ, 20-Feb-2024,999.99,1000.0,1000.01,999.99, 1000.01,1000.01,1000.0,439,4.39,5, 332, 75.63,0.7562642369020501,2024-02-20
ABSLNN50ET, EQ, 20-Feb-2024,60.63,61.28,61.6,60.24, 60.60,60.58,60.49,6768,4.09,193, 3759, 55.54,0.5554078014184397,2024-02-20
ACC, EQ, 20-Feb-2024,2670.5,2674.0,2715.0,2657.2, 2687.00,2686.7,2685.32,459876,12349.15,33971, 195447, 42.50,0.42499934765023617,2024-02-20
ACCELYA, EQ, 20-Feb-2024,2002.8,2027.65,2027.65,1938.1, 1954.00,1946.1,1968.08,36557,719.47,6141, 15661, 42.84,0.42839948573460623,2024-02-20
ACCURACY, BE, 20-Feb-2024,14.25,14.0,14.0,14.0, 14.00,14.0,14.0,43309,6.06,270, -, -,,2024-02-20
ACE, EQ, 20-Feb-2024,1169.0,1173.1,1173.5,1127.0, 1132.00,1129.85,1136.75,234941,2670.69,19239, 118835, 50.58,0.5058078411175572,2024-02-20
ACEINTEG, EQ, 20-Feb-2024,39.5,40.3,40.3,37.55, 38.25,38.3,38.6,11671,4.5,170, 5419, 46.43,0.4643132550766858,2024-02-20
ACI, EQ, 20-Feb-2024,717.7,720.5,749.0,704.15, 740.00,739.85,731.04,1383473,10113.81,57265, 388244, 28.06,0.2806299797683077,2024-02-20
ACL, EQ, 20-Feb-2024,117.8,118.8,118.8,115.7, 116.00,116.3,117.01,30509,35.7,944, 21353, 69.99,0.6998918351961716,2024-02-20
ACLGATI, EQ, 20-Feb-2024,114.5,114.8,125.45,114.7, 122.05,121.45,121.93,1731881,2111.72,21095, 418057, 24.14,0.24138898688766722,2024-02-20
ADANIENSOL, EQ, 20-Feb-2024,1074.45,1079.7,1079.7,1061.0, 1070.00,1069.8,1069.9,2662527,28486.26,41159, 1451140, 54.50,0.5450235809815261,2024-02-20
ADANIENT, EQ, 20-Feb-2024,3258.8,3267.0,3269.8,3210.15, 3235.00,3228.6,3238.23,1467630,47525.18,61717, 707055, 48.18,0.4817665215347192,2024-02-20
ADANIGREEN, EQ, 20-Feb-2024,1955.05,1963.7,1964.0,1920.0, 1927.00,1926.65,1935.87,1252526,24247.25,50697, 555484, 44.35,0.4434909934005362,2024-02-20
ADANIPORTS, EQ, 20-Feb-2024,1307.0,1311.0,1312.9,1293.7, 1302.80,1300.5,1303.28,1856718,24198.25,60202, 605303, 32.60,0.32600696497798803,2024-02-20
ADANIPOWER, BE, 20-Feb-2024,567.65,570.0,570.85,551.95, 553.00,553.65,557.92,1193009,6656.0,24691, -, -,,2024-02-20
ADFFOODS, EQ, 20-Feb-2024,196.0,196.0,197.0,193.7, 194.00,195.15,194.94,64447,125.63,2802, 39994, 62.06,0.6205719428367495,2024-02-20
ADL, BE, 20-Feb-2024,89.8,91.6,91.6,89.0, 89.60,90.1,89.89,717,0.64,19, -, -,,2024-02-20
