SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 09-Dec-2022,99.3,99.95,100.7,95.9, 96.50,96.65,98.04,175541,172.09,3610, 90244, 51.41,0.5140907252436753,2022-12-09
21STCENMGM, EQ, 09-Dec-2022,22.6,22.6,23.05,22.35, 22.90,22.9,22.69,6192,1.4,73, 2352, 37.98,0.3798449612403101,2022-12-09
3IINFOLTD, EQ, 09-Dec-2022,42.15,42.45,42.55,41.5, 41.70,41.65,41.84,331890,138.86,2470, 222288, 66.98,0.6697640784597306,2022-12-09
3MINDIA, EQ, 09-Dec-2022,22909.45,23099.0,23400.0,22899.95, 23150.00,23120.3,23162.7,2013,466.27,1258, 713, 35.42,0.3541977148534526,2022-12-09
3PLAND, EQ, 09-Dec-2022,17.5,17.5,17.8,16.85, 17.30,17.2,17.32,8079,1.4,199, 5701, 70.57,0.7056566406733507,2022-12-09
4THDIM, BE, 09-Dec-2022,96.5,98.3,98.4,95.7, 98.00,98.1,98.14,139771,137.17,246, -, -,,2022-12-09
5PAISA, EQ, 09-Dec-2022,331.9,335.2,335.2,320.0, 324.80,324.0,327.83,27042,88.65,1974, 15402, 56.96,0.5695584646106058,2022-12-09
63MOONS, EQ, 09-Dec-2022,159.2,159.05,159.95,155.7, 157.05,157.4,157.44,74943,117.99,1893, 45806, 61.12,0.6112111871689151,2022-12-09
A2ZINFRA, EQ, 09-Dec-2022,11.05,11.05,11.25,10.65, 10.90,10.9,10.92,359917,39.29,607, 219922, 61.10,0.6110353220325797,2022-12-09
AAATECH, EQ, 09-Dec-2022,68.9,70.0,70.0,62.9, 64.90,63.35,65.52,31854,20.87,723, 19584, 61.48,0.6148050480316444,2022-12-09
AAKASH, EQ, 09-Dec-2022,7.15,7.3,7.3,6.95, 7.05,7.0,7.06,993430,70.11,1246, 840313, 84.59,0.8458703683198615,2022-12-09
AAREYDRUGS, EQ, 09-Dec-2022,38.2,38.75,38.75,37.6, 38.20,38.2,38.02,18862,7.17,245, 14177, 75.16,0.7516170077404305,2022-12-09
AARON, EQ, 09-Dec-2022,172.05,172.5,180.0,168.55, 169.35,169.9,172.57,5406,9.33,178, 2721, 50.33,0.5033296337402886,2022-12-09
AARTIDRUGS, EQ, 09-Dec-2022,460.0,462.4,463.1,453.65, 458.00,457.35,457.27,36379,166.35,2981, 20374, 56.00,0.560048379559636,2022-12-09
AARTIIND, EQ, 09-Dec-2022,662.05,666.5,666.5,653.1, 657.80,657.45,659.77,400531,2642.59,24967, 177349, 44.28,0.4427847033063608,2022-12-09
AARTISURF, EQ, 09-Dec-2022,704.2,702.6,709.0,695.0, 701.50,698.35,702.34,9047,63.54,1198, 4919, 54.37,0.5437161489996684,2022-12-09
AARVEEDEN, EQ, 09-Dec-2022,27.0,27.3,27.55,25.55, 27.00,26.3,26.52,30732,8.15,406, 13397, 43.59,0.4359299752700768,2022-12-09
AARVI, EQ, 09-Dec-2022,185.85,187.0,188.7,183.05, 185.00,184.55,184.5,14865,27.43,476, 10072, 67.76,0.677564749411369,2022-12-09
AAVAS, EQ, 09-Dec-2022,1936.6,1950.0,1950.0,1929.7, 1935.00,1936.4,1937.23,24011,465.15,4180, 12292, 51.19,0.5119320311523885,2022-12-09
ABAN, EQ, 09-Dec-2022,49.9,50.2,50.5,48.25, 50.00,48.9,49.25,226551,111.57,3249, 141721, 62.56,0.6255589249219823,2022-12-09
ABB, EQ, 09-Dec-2022,2988.35,3010.0,3035.8,2940.0, 2970.00,2976.65,2996.55,329565,9875.57,24499, 122308, 37.11,0.3711195060155053,2022-12-09
ABBOTINDIA, EQ, 09-Dec-2022,20387.1,20402.0,20749.0,20300.0, 20500.00,20436.15,20542.21,14234,2923.98,5345, 3605, 25.33,0.25326682590979344,2022-12-09
ABCAPITAL, EQ, 09-Dec-2022,160.8,161.6,161.6,153.35, 156.35,156.0,156.53,7830852,12257.88,38626, 2985010, 38.12,0.38118585308469627,2022-12-09
ABFRL, EQ, 09-Dec-2022,312.95,313.8,316.0,308.8, 313.00,313.45,313.04,1505850,4713.88,19383, 702018, 46.62,0.4661938440083674,2022-12-09
ABMINTLLTD, BE, 09-Dec-2022,66.5,69.0,69.0,68.9, 68.90,68.9,68.92,170,0.12,5, -, -,,2022-12-09
ABSLAMC, EQ, 09-Dec-2022,442.75,442.75,451.5,442.5, 450.00,449.55,447.66,167318,749.02,4841, 118077, 70.57,0.7057041083445893,2022-12-09
ABSLBANETF, EQ, 09-Dec-2022,43.74,44.65,44.65,42.85, 43.65,43.66,43.74,9819,4.3,239, 3800, 38.70,0.3870047866381505,2022-12-09
ABSLNN50ET, EQ, 09-Dec-2022,45.24,46.0,46.0,44.7, 44.90,44.79,45.09,5544,2.5,163, 3003, 54.17,0.5416666666666666,2022-12-09
ACC, EQ, 09-Dec-2022,2621.25,2638.0,2642.4,2594.9, 2626.90,2619.5,2616.37,491049,12847.64,27649, 203867, 41.52,0.4151663072320685,2022-12-09
ACCELYA, EQ, 09-Dec-2022,1564.75,1566.0,1590.0,1525.0, 1539.50,1540.4,1548.75,36688,568.2,5189, 13810, 37.64,0.37641735717400787,2022-12-09
ACCURACY, EQ, 09-Dec-2022,178.0,178.0,180.75,173.2, 176.95,176.5,176.28,16849,29.7,673, 11126, 66.03,0.660335924980711,2022-12-09
ACE, EQ, 09-Dec-2022,340.1,340.65,351.9,323.5, 329.45,329.4,338.14,944824,3194.8,21174, 225612, 23.88,0.23878732970373318,2022-12-09
