SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 21-Jun-2021,62.0,60.75,64.1,59.85, 64.00,63.55,62.64,125996,78.92,2608, 62996, 50.00,0.49998412648020574,2021-06-21
21STCENMGM, EQ, 21-Jun-2021,19.5,19.85,19.85,19.85, 19.85,19.85,19.85,6539,1.3,43, 6537, 99.97,0.9996941428352959,2021-06-21
3IINFOTECH, BE, 21-Jun-2021,10.5,10.7,11.0,10.55, 11.00,11.0,10.97,30765464,3375.22,10731, -, -,,2021-06-21
3MINDIA, EQ, 21-Jun-2021,25445.4,25205.0,25552.85,25205.0, 25303.00,25411.9,25336.78,1092,276.68,797, 536, 49.08,0.4908424908424908,2021-06-21
3PLAND, EQ, 21-Jun-2021,13.8,14.3,14.3,13.5, 13.80,13.8,13.76,17919,2.47,137, 15329, 85.55,0.8554606841899659,2021-06-21
5PAISA, EQ, 21-Jun-2021,417.55,425.0,425.0,408.3, 416.30,415.8,416.31,32044,133.4,1415, 21351, 66.63,0.6663025839470728,2021-06-21
63MOONS, BE, 21-Jun-2021,89.2,89.0,93.65,87.4, 93.65,93.65,92.4,93308,86.21,555, -, -,,2021-06-21
A2ZINFRA, BE, 21-Jun-2021,5.35,5.2,5.6,5.1, 5.60,5.6,5.4,1297332,70.03,1049, -, -,,2021-06-21
AAKASH, EQ, 21-Jun-2021,182.6,182.6,200.85,182.0, 190.00,190.8,193.69,69455,134.53,1183, 22212, 31.98,0.319804189763156,2021-06-21
AARON, BE, 21-Jun-2021,68.0,67.9,71.4,65.05, 71.40,71.4,68.45,26151,17.9,233, -, -,,2021-06-21
AARTIDRUGS, EQ, 21-Jun-2021,720.1,709.0,717.85,707.0, 714.55,713.3,711.58,289830,2062.36,19173, 115401, 39.82,0.3981678915226167,2021-06-21
AARTIIND, EQ, 21-Jun-2021,1770.35,1769.0,1812.65,1750.0, 1775.10,1771.9,1778.62,957287,17026.52,48989, 426099, 44.51,0.4451110273094694,2021-06-21
AARTISURF, EQ, 21-Jun-2021,1340.85,1340.0,1383.4,1307.35, 1365.00,1363.05,1360.75,10606,144.32,1848, 5505, 51.90,0.5190458231189893,2021-06-21
AARVEEDEN, BE, 21-Jun-2021,23.3,22.85,24.0,22.2, 22.90,23.0,23.12,5494,1.27,52, -, -,,2021-06-21
