SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 27-Oct-2025,210.51,211.0,211.86,208.57,211.0,210.26,210.06,64341,135.16,1605, 34104, 53.01,0.530050822958922,2025-10-27
21STCENMGM, EQ, 27-Oct-2025,46.88,46.98,47.0,45.94,46.52,46.01,46.48,5221,2.43,127, 4749, 90.96,0.9095958628615208,2025-10-27
360ONE, EQ, 27-Oct-2025,1185.7,1179.8,1189.8,1167.8,1167.8,1173.0,1179.44,607697,7167.42,29601, 382331, 62.91,0.6291474205072594,2025-10-27
3IINFOLTD, EQ, 27-Oct-2025,20.05,20.18,20.79,19.85,20.01,19.97,20.11,671001,134.95,2535, 375856, 56.01,0.5601422352574735,2025-10-27
3MINDIA, EQ, 27-Oct-2025,29735.0,29815.0,30170.0,29800.0,30010.0,30015.0,29986.6,4273,1281.33,1982, 3074, 71.94,0.719400889304938,2025-10-27
3PLAND, EQ, 27-Oct-2025,42.82,43.04,45.01,43.04,43.79,43.56,44.26,15159,6.71,232, 11445, 75.50,0.7549970314664556,2025-10-27
5PAISA, EQ, 27-Oct-2025,312.4,313.6,319.65,313.3,317.25,316.5,317.02,47142,149.45,1745, 19355, 41.06,0.41056807093462305,2025-10-27
63MOONS, EQ, 27-Oct-2025,786.0,790.5,820.9,787.05,799.0,796.1,800.44,93246,746.38,6110, 47728, 51.19,0.5118503742787894,2025-10-27
A2ZINFRA, EQ, 27-Oct-2025,16.62,16.65,17.25,16.26,16.41,16.44,16.65,254473,42.37,868, 185199, 72.78,0.7277746558573994,2025-10-27
AAATECH, BE, 27-Oct-2025,90.04,89.39,92.5,87.0,91.7,90.97,91.07,615869,560.89,610, -, -,,2025-10-27
AADHARHFC, EQ, 27-Oct-2025,522.6,525.0,525.9,510.0,511.05,511.2,515.64,312801,1612.93,11783, 147176, 47.05,0.47051000476341187,2025-10-27
AAKASH, EQ, 27-Oct-2025,9.16,9.1,9.3,9.03,9.19,9.05,9.13,69160,6.31,355, 48104, 69.55,0.6955465587044535,2025-10-27
AAREYDRUGS, BE, 27-Oct-2025,88.0,88.5,89.5,88.5,89.5,89.5,88.91,8099,7.2,59, -, -,,2025-10-27
AARON, EQ, 27-Oct-2025,189.4,189.4,222.0,189.0,206.3,209.25,212.97,276973,589.86,9270, 92445, 33.38,0.3337689955338607,2025-10-27
AARTECH, EQ, 27-Oct-2025,62.93,63.1,63.94,59.1,59.26,60.04,61.11,347115,212.14,1955, 250454, 72.15,0.7215303285654611,2025-10-27
AARTIDRUGS, EQ, 27-Oct-2025,493.95,493.95,502.6,489.15,491.1,491.2,494.03,99176,489.96,6797, 42092, 42.44,0.4244171977091232,2025-10-27
AARTIIND, EQ, 27-Oct-2025,381.7,383.0,383.2,378.45,380.0,380.45,380.78,343034,1306.19,11400, 205564, 59.93,0.5992525522251438,2025-10-27
AARTIPHARM, EQ, 27-Oct-2025,832.4,832.4,841.5,829.35,830.0,831.15,833.31,73536,612.79,6710, 36812, 50.06,0.5005983463881636,2025-10-27
AARTISURF, EQ, 27-Oct-2025,464.6,462.3,478.85,462.3,472.7,468.85,471.41,3354,15.81,378, 1956, 58.32,0.5831842576028623,2025-10-27
AARVI, EQ, 27-Oct-2025,118.74,119.33,121.99,119.33,119.95,119.95,119.84,4527,5.43,116, 3645, 80.52,0.805168986083499,2025-10-27
AAVAS, EQ, 27-Oct-2025,1688.0,1706.9,1706.9,1648.0,1659.2,1653.8,1666.95,122932,2049.22,15192, 71957, 58.53,0.5853398626883155,2025-10-27
ABAN, BE, 27-Oct-2025,41.16,41.0,42.09,41.0,41.3,41.62,41.52,21679,9.0,191, -, -,,2025-10-27
ABB, EQ, 27-Oct-2025,5181.0,5198.0,5240.0,5172.0,5233.0,5238.0,5211.93,72330,3769.79,9946, 35748, 49.42,0.49423475736209044,2025-10-27
ABBOTINDIA, EQ, 27-Oct-2025,29930.0,29935.0,29935.0,29655.0,29775.0,29770.0,29802.67,8027,2392.26,2019, 6400, 79.73,0.7973090818487605,2025-10-27
ABCAPITAL, EQ, 27-Oct-2025,306.15,306.15,311.9,305.5,310.75,310.75,310.1,2223082,6893.78,33013, 912016, 41.02,0.4102484748650747,2025-10-27
ABCOTS, EQ, 27-Oct-2025,423.0,428.0,444.0,416.3,417.0,420.85,426.86,21936,93.64,908, 3731, 17.01,0.1700857038657914,2025-10-27
ABDL, EQ, 27-Oct-2025,618.35,615.0,629.0,601.45,612.95,611.85,618.07,757072,4679.26,28854, 381661, 50.41,0.5041277447851723,2025-10-27
ABFRL, EQ, 27-Oct-2025,81.93,82.1,82.89,81.4,81.7,81.76,82.05,2345575,1924.46,16034, 1120595, 47.77,0.4777485264807137,2025-10-27
ABGSEC, EQ, 27-Oct-2025,111.0,111.0,111.23,110.7,110.8,110.89,110.88,259,0.29,17, 224, 86.49,0.8648648648648649,2025-10-27
ABINFRA, EQ, 27-Oct-2025,18.41,18.12,18.79,18.1,18.1,18.25,18.3,403033,73.74,884, 160980, 39.94,0.399421387330566,2025-10-27
ABLBL, EQ, 27-Oct-2025,138.44,138.85,138.94,135.46,136.1,136.37,136.9,910493,1246.5,10491, 523871, 57.54,0.5753707057605055,2025-10-27
ABMINTLLTD, BE, 27-Oct-2025,53.24,50.61,53.0,50.61,51.2,51.2,51.03,48,0.02,4, -, -,,2025-10-27
ABREL, EQ, 27-Oct-2025,1682.4,1694.8,1763.9,1686.4,1755.3,1755.2,1728.29,290897,5027.56,28648, 131971, 45.37,0.4536691681248002,2025-10-27
