SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 03-Oct-2024,293.25,290.0,298.7,283.0,283.3,284.75,288.94,182664,527.8,4530, 105578, 57.80,0.5779901896378049,2024-10-03
21STCENMGM, BE, 03-Oct-2024,104.86,102.76,102.76,102.76,102.76,102.76,102.76,5392,5.54,101, -, -,,2024-10-03
360ONE, EQ, 03-Oct-2024,1014.05,994.0,998.45,940.0,970.95,955.45,964.08,1700571,16394.92,75535, 1146566, 67.42,0.6742241282486883,2024-10-03
3IINFOLTD, EQ, 03-Oct-2024,33.09,32.7,33.0,32.0,32.2,32.13,32.43,742818,240.88,4073, 427900, 57.60,0.5760495841511649,2024-10-03
3MINDIA, EQ, 03-Oct-2024,34430.05,33950.0,34989.0,33950.0,34594.0,34566.8,34556.68,5684,1964.2,3836, 2195, 38.62,0.38617171006333567,2024-10-03
3PLAND, BE, 03-Oct-2024,37.61,38.0,38.96,36.0,37.99,37.92,37.51,12333,4.63,120, -, -,,2024-10-03
5PAISA, EQ, 03-Oct-2024,549.55,530.0,570.15,511.1,540.0,534.85,546.58,268680,1468.55,11125, 76340, 28.41,0.2841298198600566,2024-10-03
63MOONS, EQ, 03-Oct-2024,407.8,400.0,428.15,395.6,403.9,406.7,415.59,1040902,4325.88,16976, 329080, 31.61,0.31614887856877977,2024-10-03
A2ZINFRA, BE, 03-Oct-2024,17.35,17.25,17.25,16.6,16.85,16.73,16.81,171635,28.85,304, -, -,,2024-10-03
AAATECH, EQ, 03-Oct-2024,132.75,130.75,133.01,127.81,129.34,128.8,130.05,39216,51.0,1162, 25748, 65.66,0.6565687474500204,2024-10-03
AADHARHFC, EQ, 03-Oct-2024,458.05,450.0,463.65,442.0,443.8,443.4,450.82,728469,3284.08,27697, 346397, 47.55,0.47551371437906076,2024-10-03
AAKASH, BE, 03-Oct-2024,11.83,11.8,11.83,11.26,11.53,11.55,11.59,157662,18.27,749, -, -,,2024-10-03
AAREYDRUGS, BE, 03-Oct-2024,69.36,66.67,70.0,66.67,68.0,67.56,68.2,34447,23.49,257, -, -,,2024-10-03
AARON, EQ, 03-Oct-2024,262.5,260.0,264.6,255.2,256.95,257.35,260.44,12457,32.44,1560, 4567, 36.66,0.3666211768483584,2024-10-03
AARTECH, EQ, 03-Oct-2024,71.63,69.11,72.87,69.11,71.52,71.95,70.71,137960,97.55,2493, 77446, 56.14,0.5613656132212236,2024-10-03
AARTIDRUGS, EQ, 03-Oct-2024,520.75,517.9,522.0,509.85,512.05,514.2,516.18,161059,831.35,11028, 69042, 42.87,0.42867520598041714,2024-10-03
AARTIIND, EQ, 03-Oct-2024,587.0,579.65,585.65,561.3,563.0,562.65,568.71,1985700,11292.82,59836, 1063816, 53.57,0.5357385304930251,2024-10-03
AARTIPHARM, EQ, 03-Oct-2024,624.75,609.0,625.75,609.0,618.0,615.55,616.71,71158,438.84,8185, 36322, 51.04,0.5104415526012536,2024-10-03
AARTISURF, EQ, 03-Oct-2024,830.9,830.0,861.0,808.05,825.8,817.25,834.78,56620,472.65,3824, 22026, 38.90,0.38901448251501236,2024-10-03
AARVEEDEN, BE, 03-Oct-2024,47.9,48.85,48.85,48.85,48.85,48.85,48.85,47180,23.05,62, -, -,,2024-10-03
AARVI, EQ, 03-Oct-2024,140.17,138.0,138.98,136.79,137.0,137.24,137.98,10442,14.41,641, 3755, 35.96,0.3596054395709634,2024-10-03
AAVAS, EQ, 03-Oct-2024,1850.6,1809.75,1825.0,1770.0,1779.0,1778.4,1789.07,205589,3678.14,24509, 114994, 55.93,0.5593392642602474,2024-10-03
ABAN, EQ, 03-Oct-2024,74.02,73.9,75.44,72.5,72.5,72.83,73.43,137621,101.05,1777, 102302, 74.34,0.7433603883128301,2024-10-03
ABB, EQ, 03-Oct-2024,8268.1,8201.0,8260.0,8045.8,8088.9,8110.3,8156.82,320792,26166.44,44995, 70253, 21.90,0.21899860345644528,2024-10-03
ABBOTINDIA, EQ, 03-Oct-2024,29016.15,28950.0,29060.0,28230.0,28230.0,28267.05,28521.8,9326,2659.94,5740, 3899, 41.81,0.4180784902423333,2024-10-03
ABCAPITAL, EQ, 03-Oct-2024,242.03,244.0,244.0,232.0,233.03,234.25,236.53,9858860,23319.05,79206, 5208816, 52.83,0.52833857058524,2024-10-03
ABDL, EQ, 03-Oct-2024,342.1,335.0,341.0,328.05,328.85,329.5,333.45,618849,2063.56,11169, 360073, 58.18,0.5818430667254856,2024-10-03
ABFRL, EQ, 03-Oct-2024,352.35,348.9,357.9,343.4,343.8,344.35,349.03,8996434,31400.48,69610, 3797165, 42.21,0.4220744575017168,2024-10-03
ABGSEC, EQ, 03-Oct-2024,103.47,103.47,103.89,103.27,103.79,103.79,103.72,404,0.42,18, 386, 95.54,0.9554455445544554,2024-10-03
ABMINTLLTD, BE, 03-Oct-2024,58.2,58.0,58.0,55.29,55.29,55.29,56.33,717,0.4,27, -, -,,2024-10-03
ABSLAMC, EQ, 03-Oct-2024,749.9,741.0,750.2,727.25,730.0,730.1,737.13,213117,1570.95,31666, 127862, 60.00,0.5999615234824064,2024-10-03
ABSLBANETF, EQ, 03-Oct-2024,53.84,55.45,55.45,52.5,52.9,52.55,52.96,1329028,703.81,4744, 1235360, 92.95,0.9295214246802926,2024-10-03
ABSLLIQUID, EQ, 03-Oct-2024,1000.0,999.99,1000.01,999.99,1000.0,999.99,1000.01,54638,546.38,94, 46015, 84.22,0.8421794355576705,2024-10-03
ABSLNN50ET, EQ, 03-Oct-2024,80.13,80.12,80.4,77.99,79.4,79.42,78.67,101056,79.5,1406, 81334, 80.48,0.8048408803039898,2024-10-03
ABSLPSE, EQ, 03-Oct-2024,11.29,11.24,11.26,11.0,11.18,11.06,11.13,319141,35.5,1575, 187786, 58.84,0.5884107651476933,2024-10-03
ACC, EQ, 03-Oct-2024,2511.0,2479.95,2516.3,2430.05,2463.9,2458.75,2475.37,240975,5965.01,26955, 74320, 30.84,0.30841373586471627,2024-10-03
ACCELYA, EQ, 03-Oct-2024,1885.4,1880.0,1899.9,1859.05,1874.0,1870.75,1880.77,38287,720.09,3740, 23986, 62.65,0.6264789615274113,2024-10-03
ACCURACY, BE, 03-Oct-2024,10.77,10.23,10.75,10.23,10.23,10.31,10.38,258606,26.83,974, -, -,,2024-10-03
ACE, EQ, 03-Oct-2024,1391.7,1368.6,1389.8,1355.0,1376.0,1370.6,1372.56,218468,2998.61,19796, 130157, 59.58,0.5957714630975703,2024-10-03
ACEINTEG, EQ, 03-Oct-2024,35.78,35.96,35.96,34.0,34.59,34.3,34.65,51371,17.8,805, 35513, 69.13,0.6913044324618949,2024-10-03
ACI, EQ, 03-Oct-2024,720.05,700.55,726.55,700.5,714.2,716.35,715.73,484255,3465.97,28390, 298368, 61.61,0.616138191655223,2024-10-03
ACL, EQ, 03-Oct-2024,94.8,99.4,99.4,91.5,93.5,93.11,94.9,307861,292.16,5319, 177881, 57.78,0.5777964730836319,2024-10-03
ACLGATI, EQ, 03-Oct-2024,113.1,112.8,114.2,108.5,110.25,109.35,111.43,1370717,1527.4,11685, 706323, 51.53,0.5152945502244446,2024-10-03
ADANIENSOL, EQ, 03-Oct-2024,1040.1,1023.8,1039.7,1010.0,1021.7,1015.85,1023.28,983956,10068.6,42916, 443561, 45.08,0.45079353141807155,2024-10-03
ADANIENT, EQ, 03-Oct-2024,3186.1,3150.0,3196.35,3084.1,3116.7,3116.0,3130.54,1309703,41000.82,83884, 443787, 33.88,0.3388455245196812,2024-10-03
ADANIGREEN, EQ, 03-Oct-2024,1884.95,1865.0,1868.6,1775.75,1811.9,1807.8,1812.95,1694940,30728.44,109615, 827397, 48.82,0.48815710290629755,2024-10-03
ADANIPORTS, EQ, 03-Oct-2024,1467.5,1452.75,1469.0,1414.2,1426.05,1425.2,1440.0,3967953,57138.39,127891, 2560505, 64.53,0.6452962018451327,2024-10-03
ADANIPOWER, EQ, 03-Oct-2024,653.2,649.05,652.9,631.55,649.0,644.75,641.35,2625339,16837.62,79177, 1220617, 46.49,0.46493690910012003,2024-10-03
ADFFOODS, EQ, 03-Oct-2024,267.6,258.9,280.25,252.1,274.9,275.15,273.63,602533,1648.69,9188, 229951, 38.16,0.38164050765684204,2024-10-03
ADL, BE, 03-Oct-2024,107.1,106.9,106.9,102.05,105.99,105.99,105.56,4623,4.88,85, -, -,,2024-10-03
ADORWELD, EQ, 03-Oct-2024,1367.3,1351.6,1365.45,1321.6,1341.2,1336.7,1342.16,9108,122.24,1693, 4980, 54.68,0.546772068511199,2024-10-03
ADROITINFO, EQ, 03-Oct-2024,19.12,18.8,18.96,18.16,18.96,18.83,18.79,29870,5.61,216, 23556, 78.86,0.7886173418145296,2024-10-03
ADSL, EQ, 03-Oct-2024,277.0,270.15,278.2,259.0,264.2,263.6,268.83,537780,1445.72,8671, 264510, 49.19,0.4918554055561754,2024-10-03
ADVANIHOTR, EQ, 03-Oct-2024,73.6,73.6,73.6,71.01,71.98,71.71,72.28,86235,62.33,1603, 57489, 66.67,0.6666550704470343,2024-10-03
ADVENZYMES, EQ, 03-Oct-2024,522.2,520.7,520.7,498.0,500.0,501.75,508.5,267042,1357.91,17362, 121666, 45.56,0.45560623422532787,2024-10-03
AEGISLOG, EQ, 03-Oct-2024,764.5,735.0,751.3,731.25,741.0,734.75,739.33,251364,1858.41,25898, 139525, 55.51,0.5550715297337725,2024-10-03
AEROFLEX, EQ, 03-Oct-2024,191.78,187.01,194.74,186.29,188.1,187.73,190.58,1872413,3568.44,30581, 659605, 35.23,0.35227537941682735,2024-10-03
AETHER, EQ, 03-Oct-2024,949.05,949.05,953.3,934.35,945.95,939.85,944.19,49500,467.37,5624, 29442, 59.48,0.5947878787878788,2024-10-03
AFFLE, EQ, 03-Oct-2024,1598.35,1562.4,1594.95,1550.05,1567.0,1565.65,1567.04,145612,2281.8,16220, 82706, 56.80,0.5679889020135703,2024-10-03
AFIL, EQ, 03-Oct-2024,107.6,106.01,107.35,104.0,105.2,104.52,105.4,118517,124.92,1966, 66766, 56.33,0.5633453428622054,2024-10-03
