SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 23-May-2024,179.35,181.0,182.9,176.0,176.0,176.6,178.4,99783,178.01,3182, 59113, 59.24,0.5924155417255444,2024-05-23
21STCENMGM, BE, 23-May-2024,43.0,43.0,43.85,43.0,43.85,43.85,43.85,4029,1.77,9, -, -,,2024-05-23
360ONE, EQ, 23-May-2024,794.5,797.0,827.0,786.5,811.05,817.5,808.26,698627,5646.7,24404, 399409, 57.17,0.57170564550182,2024-05-23
3IINFOLTD, EQ, 23-May-2024,38.1,38.2,38.3,37.3,37.65,37.55,37.66,601542,226.54,3474, 353030, 58.69,0.5868750644177796,2024-05-23
3MINDIA, EQ, 23-May-2024,31189.3,31210.25,31299.9,30800.0,30900.0,30843.25,31006.08,2398,743.53,1305, 1079, 45.00,0.4499582985821518,2024-05-23
3PLAND, EQ, 23-May-2024,30.75,30.75,32.2,30.15,30.8,30.9,31.27,8896,2.78,122, 6564, 73.79,0.7378597122302158,2024-05-23
5PAISA, EQ, 23-May-2024,545.95,550.8,550.8,534.5,537.9,535.85,539.47,42462,229.07,4204, 25774, 60.70,0.606989779096604,2024-05-23
63MOONS, EQ, 23-May-2024,410.5,413.0,422.0,413.0,419.0,419.1,418.37,80381,336.29,2894, 57195, 71.15,0.7115487490824947,2024-05-23
A2ZINFRA, BE, 23-May-2024,14.45,14.75,15.15,14.7,15.15,15.15,15.08,690246,104.12,526, -, -,,2024-05-23
AAATECH, BE, 23-May-2024,123.65,121.35,124.45,120.0,123.0,122.15,122.65,13606,16.69,207, -, -,,2024-05-23
AADHARHFC, EQ, 23-May-2024,343.35,342.0,346.0,330.6,330.6,333.35,336.64,1932691,6506.15,27820, 1402143, 72.55,0.7254874162501921,2024-05-23
AAKASH, EQ, 23-May-2024,11.6,12.15,12.15,12.15,12.15,12.15,12.15,553473,67.25,546, 553472, 100.00,0.9999981932271312,2024-05-23
AAREYDRUGS, BE, 23-May-2024,50.0,50.75,50.8,49.1,50.5,50.3,50.01,7125,3.56,72, -, -,,2024-05-23
AARON, EQ, 23-May-2024,281.75,276.0,284.65,273.0,278.35,278.0,279.62,10670,29.84,741, 6241, 58.49,0.5849109653233364,2024-05-23
AARTECH, BE, 23-May-2024,223.95,219.5,219.5,219.5,219.5,219.5,219.5,3976,8.73,81, -, -,,2024-05-23
AARTIDRUGS, EQ, 23-May-2024,495.45,495.45,499.55,489.7,491.9,491.6,493.08,66410,327.45,4880, 40054, 60.31,0.603132058424936,2024-05-23
AARTIIND, EQ, 23-May-2024,630.2,631.5,632.95,624.0,627.95,626.95,626.99,825973,5178.73,26469, 368667, 44.63,0.44634267706087244,2024-05-23
AARTIPHARM, EQ, 23-May-2024,608.75,622.0,623.0,602.0,606.0,607.05,608.41,385898,2347.84,13187, 117929, 30.56,0.30559629746720635,2024-05-23
AARTISURF, EQ, 23-May-2024,675.0,676.0,681.75,665.05,668.0,669.0,672.37,23054,155.01,1917, 13060, 56.65,0.5664960527457275,2024-05-23
AARVEEDEN, EQ, 23-May-2024,25.6,25.7,25.7,24.4,24.4,24.85,25.18,19574,4.93,202, 12313, 62.90,0.6290487381219986,2024-05-23
AARVI, EQ, 23-May-2024,140.65,140.65,143.2,139.5,142.0,141.25,141.26,35105,49.59,838, 18187, 51.81,0.5180743483834211,2024-05-23
AAVAS, EQ, 23-May-2024,1602.05,1602.05,1619.2,1599.4,1600.0,1609.6,1610.17,115066,1852.76,16296, 78954, 68.62,0.6861627240018772,2024-05-23
ABAN, BE, 23-May-2024,62.35,62.2,63.3,61.0,62.45,62.3,62.37,63177,39.41,517, -, -,,2024-05-23
ABB, EQ, 23-May-2024,8413.2,8460.0,8490.0,8356.55,8407.0,8423.55,8419.78,203242,17112.54,34070, 76637, 37.71,0.3770726523061178,2024-05-23
ABBOTINDIA, EQ, 23-May-2024,26196.2,26254.8,26278.55,25718.0,26125.0,26109.6,25971.85,11152,2896.38,4443, 3038, 27.24,0.27241750358680056,2024-05-23
ABCAPITAL, EQ, 23-May-2024,223.35,224.35,227.8,223.05,227.0,226.05,225.53,5111773,11528.62,44897, 2368809, 46.34,0.4634026197955191,2024-05-23
ABFRL, EQ, 23-May-2024,282.5,283.0,283.0,274.15,280.3,280.15,278.19,4143147,11525.82,35708, 1148573, 27.72,0.27722236261469846,2024-05-23
ABMINTLLTD, EQ, 23-May-2024,66.95,67.1,69.2,66.95,67.05,67.05,67.61,3311,2.24,47, 1212, 36.61,0.36605255209906373,2024-05-23
ABSLAMC, EQ, 23-May-2024,535.7,535.0,536.75,529.0,533.0,534.5,534.25,206344,1102.39,10918, 152340, 73.83,0.7382817043383864,2024-05-23
ABSLBANETF, EQ, 23-May-2024,48.4,48.3,49.46,48.3,49.35,49.33,49.05,25396,12.46,518, 17547, 69.09,0.6909355804063632,2024-05-23
