SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, BE, 01-Nov-2023,142.7,145.55,145.55,145.55, 145.55,145.55,145.55,11569,16.84,57, -, -,,2023-11-01
21STCENMGM, EQ, 01-Nov-2023,18.1,17.95,18.3,17.8, 18.25,17.95,18.09,3779,0.68,55, 3138, 83.04,0.8303784069859751,2023-11-01
360ONE, EQ, 01-Nov-2023,525.1,524.8,537.85,523.95, 531.25,529.45,527.97,594728,3139.97,14946, 460954, 77.51,0.7750669213489192,2023-11-01
3IINFOLTD, EQ, 01-Nov-2023,36.4,36.4,37.95,36.4, 37.20,37.35,37.17,577594,214.66,3188, 269916, 46.73,0.4673109485209334,2023-11-01
3MINDIA, EQ, 01-Nov-2023,29762.7,29829.1,30500.05,29590.5, 30490.00,30320.9,30126.11,2663,802.26,1724, 1184, 44.46,0.4446113405933158,2023-11-01
3PLAND, EQ, 01-Nov-2023,26.4,26.1,27.0,26.1, 26.40,26.75,26.59,47335,12.58,1225, 2774, 5.86,0.058603570296820534,2023-11-01
5PAISA, EQ, 01-Nov-2023,444.5,444.5,455.45,436.05, 440.90,438.3,445.19,52045,231.7,6001, 18550, 35.64,0.35642232683254876,2023-11-01
63MOONS, EQ, 01-Nov-2023,262.8,260.0,267.9,260.0, 264.90,264.75,264.08,47493,125.42,1556, 30794, 64.84,0.6483902890952351,2023-11-01
A2ZINFRA, BE, 01-Nov-2023,9.65,9.3,10.1,9.3, 9.60,9.45,9.64,304298,29.34,274, -, -,,2023-11-01
AAATECH, EQ, 01-Nov-2023,66.45,66.45,68.3,65.75, 67.00,66.5,66.69,46726,31.16,1665, 20889, 44.71,0.44705303257287166,2023-11-01
AAKASH, EQ, 01-Nov-2023,6.55,6.7,6.7,6.15, 6.35,6.35,6.35,319471,20.29,620, 175096, 54.81,0.5480810464799621,2023-11-01
AAREYDRUGS, BE, 01-Nov-2023,42.2,43.4,43.4,41.55, 42.50,41.9,41.99,5658,2.38,57, -, -,,2023-11-01
AARON, EQ, 01-Nov-2023,294.3,303.0,303.0,265.25, 278.00,278.7,278.6,35949,100.15,1544, 19373, 53.89,0.5389023338618598,2023-11-01
AARTECH, BE, 01-Nov-2023,145.95,145.95,151.75,141.3, 151.00,151.1,148.08,4202,6.22,118, -, -,,2023-11-01
AARTIDRUGS, EQ, 01-Nov-2023,469.45,468.0,471.85,457.95, 459.25,460.45,464.19,186568,866.02,13759, 77222, 41.39,0.4139080656918657,2023-11-01
AARTIIND, EQ, 01-Nov-2023,454.45,455.05,455.95,446.0, 448.30,447.8,450.16,625529,2815.89,16295, 292154, 46.71,0.4670510879591514,2023-11-01
AARTIPHARM, EQ, 01-Nov-2023,384.9,388.65,395.85,380.45, 388.95,390.3,390.51,91759,358.33,8530, 35561, 38.75,0.3875478154731416,2023-11-01
AARTISURF, EQ, 01-Nov-2023,597.15,625.95,658.0,596.0, 604.40,601.95,632.98,169203,1071.02,13127, 47046, 27.80,0.2780447155192284,2023-11-01
AARVEEDEN, EQ, 01-Nov-2023,23.15,23.3,25.9,23.2, 24.65,24.55,24.61,119570,29.42,849, 52261, 43.71,0.4370745170193192,2023-11-01
AARVI, EQ, 01-Nov-2023,134.65,136.6,136.6,130.8, 130.80,131.0,132.15,26743,35.34,703, 21263, 79.51,0.7950865647085219,2023-11-01
AAVAS, EQ, 01-Nov-2023,1407.8,1419.1,1462.0,1411.2, 1427.00,1425.45,1432.42,212425,3042.81,18376, 88201, 41.52,0.41521007414381544,2023-11-01
ABAN, BE, 01-Nov-2023,51.2,51.2,51.85,50.2, 50.20,50.4,50.86,133099,67.7,719, -, -,,2023-11-01
ABB, EQ, 01-Nov-2023,4109.3,4120.0,4147.0,4044.9, 4062.60,4055.0,4096.89,187184,7668.73,23511, 91094, 48.67,0.4866548422942132,2023-11-01
ABBOTINDIA, EQ, 01-Nov-2023,22413.65,22420.95,22517.95,22152.05, 22246.00,22234.95,22250.16,5098,1134.31,2371, 2512, 49.27,0.49274225186347587,2023-11-01
ABCAPITAL, EQ, 01-Nov-2023,172.45,173.25,173.65,169.75, 170.30,170.1,171.59,1034246,1774.65,18949, 486868, 47.07,0.4707468049187524,2023-11-01
ABFRL, EQ, 01-Nov-2023,214.75,215.1,216.65,213.0, 213.45,213.7,214.93,1167639,2509.59,9812, 571258, 48.92,0.48924196605286396,2023-11-01
ABMINTLLTD, EQ, 01-Nov-2023,52.35,54.95,54.95,54.95, 54.95,54.95,54.95,3176,1.75,21, 3176, 100.00,1.0,2023-11-01
ABSLAMC, EQ, 01-Nov-2023,445.4,445.4,446.8,435.1, 446.00,445.4,444.81,62193,276.64,2674, 36671, 58.96,0.5896322737285546,2023-11-01
ABSLBANETF, EQ, 01-Nov-2023,43.27,43.69,43.69,43.01, 43.04,43.1,43.13,6150,2.65,295, 4269, 69.41,0.6941463414634146,2023-11-01
ABSLLIQUID, EQ, 01-Nov-2023,1000.01,999.99,1000.01,999.99, 1000.00,1000.0,1000.0,1601,16.01,8, 1451, 90.63,0.9063085571517802,2023-11-01
ABSLNN50ET, EQ, 01-Nov-2023,45.36,46.27,46.27,45.0, 45.19,45.05,45.32,3634,1.65,124, 1964, 54.05,0.5404512933406714,2023-11-01
ACC, EQ, 01-Nov-2023,1888.2,1890.0,1897.35,1836.6, 1841.00,1843.75,1860.15,274912,5113.79,20185, 121707, 44.27,0.4427125771155861,2023-11-01
ACCELYA, EQ, 01-Nov-2023,1373.8,1375.0,1393.8,1352.4, 1355.00,1356.9,1370.41,15367,210.59,3234, 7744, 50.39,0.5039370078740157,2023-11-01
ACCURACY, BE, 01-Nov-2023,7.4,7.5,7.6,7.4, 7.50,7.45,7.51,83421,6.26,386, -, -,,2023-11-01
ACE, EQ, 01-Nov-2023,833.1,841.95,864.35,826.3, 846.75,843.4,848.79,509361,4323.41,23680, 202284, 39.71,0.3971328782533409,2023-11-01
ACEINTEG, EQ, 01-Nov-2023,35.0,34.95,38.5,31.55, 33.00,33.05,35.2,60519,21.3,503, 19872, 32.84,0.32835968869280724,2023-11-01
ACI, EQ, 01-Nov-2023,572.75,564.45,568.5,547.0, 549.95,548.7,555.96,330388,1836.84,18519, 161055, 48.75,0.4874723052895384,2023-11-01
ACL, EQ, 01-Nov-2023,93.85,93.0,95.9,93.0, 95.00,94.1,94.47,5606,5.3,271, 3264, 58.22,0.5822333214413129,2023-11-01
ADANIENSOL, EQ, 01-Nov-2023,769.8,769.8,771.85,742.0, 748.45,749.95,755.93,405088,3062.2,19475, 155164, 38.30,0.3830377596966585,2023-11-01
ADANIENT, EQ, 01-Nov-2023,2294.65,2299.0,2312.25,2207.0, 2215.90,2217.3,2253.36,1666579,37554.05,79883, 597149, 35.83,0.35830824701379294,2023-11-01
ADANIGREEN, EQ, 01-Nov-2023,911.65,914.7,921.7,876.0, 883.00,880.25,897.02,551732,4949.15,31176, 228380, 41.39,0.41393285145686676,2023-11-01
ADANIPORTS, EQ, 01-Nov-2023,784.75,784.75,790.5,767.2, 769.00,769.1,773.7,2693768,20841.78,47908, 1301972, 48.33,0.48332744319481113,2023-11-01
ADANIPOWER, EQ, 01-Nov-2023,363.05,364.5,372.7,357.6, 364.95,365.2,365.16,5572625,20348.74,57325, 1475257, 26.47,0.2647328682622642,2023-11-01
ADFFOODS, EQ, 01-Nov-2023,237.95,236.0,236.0,223.1, 227.45,226.4,227.32,477428,1085.3,16057, 234038, 49.02,0.4902058530291479,2023-11-01
ADL, BE, 01-Nov-2023,89.7,89.65,89.65,85.3, 85.30,85.8,87.28,518,0.45,15, -, -,,2023-11-01
