SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 26-Nov-2021,61.2,61.0,61.0,58.25, 60.00,58.95,59.63,89668,53.47,1288, 53559, 59.73,0.5973033858232591,2021-11-26
21STCENMGM, EQ, 26-Nov-2021,59.95,58.8,58.8,58.8, 58.80,58.8,58.8,4080,2.4,64, 4080, 100.00,1.0,2021-11-26
3IINFOLTD, EQ, 26-Nov-2021,103.35,108.5,108.5,99.15, 108.50,108.5,107.94,4241737,4578.48,18328, 2807553, 66.19,0.6618875710587432,2021-11-26
3MINDIA, EQ, 26-Nov-2021,25831.65,25899.0,25899.85,25054.0, 25099.95,25185.0,25359.98,1359,344.64,908, 783, 57.62,0.5761589403973509,2021-11-26
3PLAND, EQ, 26-Nov-2021,13.1,13.3,13.5,12.6, 12.60,12.7,13.08,6533,0.85,144, 3722, 56.97,0.5697229450482167,2021-11-26
5PAISA, EQ, 26-Nov-2021,401.95,398.0,401.5,372.9, 375.00,377.25,387.8,31702,122.94,1772, 23365, 73.70,0.7370197463882405,2021-11-26
63MOONS, EQ, 26-Nov-2021,113.4,112.6,112.6,107.75, 107.75,107.95,109.49,176934,193.73,3241, 110042, 62.19,0.6219381238201815,2021-11-26
A2ZINFRA, BE, 26-Nov-2021,6.0,6.3,6.3,5.7, 6.30,6.3,6.23,1286991,80.15,1400, -, -,,2021-11-26
AAKASH, EQ, 26-Nov-2021,223.05,227.0,228.0,219.95, 226.00,226.25,226.06,149998,339.09,1138, 75292, 50.20,0.501953359378125,2021-11-26
AAREYDRUGS, EQ, 26-Nov-2021,35.5,35.05,37.75,34.75, 35.50,36.95,36.24,91771,33.26,1004, 49664, 54.12,0.5411731374835188,2021-11-26
AARON, EQ, 26-Nov-2021,105.2,104.95,106.35,102.0, 103.00,103.75,103.56,6042,6.26,170, 3469, 57.41,0.5741476332340285,2021-11-26
AARTIDRUGS, EQ, 26-Nov-2021,530.0,530.0,530.0,513.5, 517.00,516.1,519.97,233401,1213.61,13704, 90683, 38.85,0.38852875523241115,2021-11-26
AARTIIND, EQ, 26-Nov-2021,948.5,948.0,951.0,924.0, 929.00,929.3,935.86,733048,6860.33,27306, 364840, 49.77,0.4977027425216357,2021-11-26
AARTISURF, EQ, 26-Nov-2021,1099.25,1090.0,1100.0,1080.0, 1081.00,1084.4,1090.21,15220,165.93,3854, 7916, 52.01,0.5201051248357424,2021-11-26
AARVEEDEN, EQ, 26-Nov-2021,23.4,23.6,24.35,22.55, 22.80,22.65,23.12,11725,2.71,148, 7549, 64.38,0.6438379530916845,2021-11-26
AARVI, EQ, 26-Nov-2021,61.35,61.9,61.9,59.0, 59.05,59.85,60.53,18446,11.17,293, 10427, 56.53,0.5652716035996964,2021-11-26
AAVAS, EQ, 26-Nov-2021,2798.1,2798.1,2810.0,2601.0, 2721.00,2675.4,2708.36,88761,2403.97,20943, 56762, 63.95,0.6394925699349939,2021-11-26
ABAN, BE, 26-Nov-2021,50.85,50.8,50.95,48.45, 48.95,48.75,49.58,100066,49.61,994, -, -,,2021-11-26
ABB, EQ, 26-Nov-2021,2046.95,2043.0,2063.2,1975.0, 1995.00,1995.0,2010.0,87944,1767.68,8978, 40883, 46.49,0.4648753752387883,2021-11-26
ABBOTINDIA, EQ, 26-Nov-2021,19317.95,19200.0,20196.7,19100.0, 19512.00,19581.2,19775.61,31782,6285.08,10917, 9445, 29.72,0.2971807941602165,2021-11-26
ABCAPITAL, EQ, 26-Nov-2021,105.95,107.7,111.5,106.65, 106.95,107.1,108.85,10247022,11154.07,68274, 2939619, 28.69,0.2868754453732997,2021-11-26
ABFRL, EQ, 26-Nov-2021,276.55,273.5,274.95,257.0, 259.35,259.55,262.48,4607889,12094.77,70090, 1868541, 40.55,0.40550911708159637,2021-11-26
ABMINTLLTD, EQ, 26-Nov-2021,107.25,103.4,111.4,103.4, 106.20,106.1,107.72,3240,3.49,95, 1199, 37.01,0.37006172839506174,2021-11-26
ABSLAMC, EQ, 26-Nov-2021,595.05,590.0,599.55,588.8, 592.80,593.45,594.63,654445,3891.53,20277, 548229, 83.77,0.8377006471132028,2021-11-26
ABSLBANETF, EQ, 26-Nov-2021,37.29,37.65,37.65,35.85, 35.89,35.99,36.42,21170,7.71,241, 14178, 66.97,0.6697213037316958,2021-11-26
ABSLNN50ET, EQ, 26-Nov-2021,44.48,52.0,52.0,42.9, 43.30,43.26,43.84,42984,18.84,419, 23812, 55.40,0.5539735715615113,2021-11-26
ACC, EQ, 26-Nov-2021,2385.45,2358.8,2388.0,2300.1, 2305.00,2311.5,2338.44,208380,4872.84,16664, 50751, 24.36,0.24355024474517709,2021-11-26
ACCELYA, EQ, 26-Nov-2021,1149.05,1139.05,1159.95,1085.0, 1104.95,1101.5,1123.03,18676,209.74,2909, 11189, 59.91,0.5991111587063611,2021-11-26
ACCURACY, EQ, 26-Nov-2021,194.6,188.2,195.5,185.05, 195.50,192.6,190.13,27496,52.28,863, 15618, 56.80,0.5680098923479779,2021-11-26
ACE, EQ, 26-Nov-2021,227.1,222.0,224.8,215.0, 215.80,216.0,219.29,639151,1401.6,19238, 292250, 45.72,0.4572471919781085,2021-11-26
ACRYSIL, EQ, 26-Nov-2021,852.15,840.1,849.0,815.0, 820.00,820.0,828.2,93258,772.36,8041, 50407, 54.05,0.5405112698106329,2021-11-26
ADANIENT, EQ, 26-Nov-2021,1763.05,1740.0,1768.55,1660.85, 1670.00,1669.55,1712.26,3510810,60114.12,84147, 1072655, 30.55,0.3055292083593245,2021-11-26
ADANIGREEN, EQ, 26-Nov-2021,1405.05,1371.05,1403.9,1346.05, 1366.00,1372.55,1377.35,1609398,22166.97,45037, 1010347, 62.78,0.6277794554237051,2021-11-26
ADANIPORTS, EQ, 26-Nov-2021,762.45,750.0,766.0,713.25, 715.00,717.15,737.73,7219931,53263.49,108317, 2164185, 29.98,0.29975147961940357,2021-11-26
ADANIPOWER, EQ, 26-Nov-2021,105.05,104.05,104.3,101.0, 101.70,101.25,102.14,4336484,4429.09,46805, 2589402, 59.71,0.5971201554070071,2021-11-26
ADANITRANS, BE, 26-Nov-2021,2029.6,1945.0,2045.0,1940.5, 2007.15,1993.85,1984.55,125504,2490.69,9884, -, -,,2021-11-26
ADFFOODS, EQ, 26-Nov-2021,834.95,833.75,879.5,827.7, 845.00,853.85,859.15,69286,595.27,4720, 15685, 22.64,0.22638050977109372,2021-11-26
ADL, BE, 26-Nov-2021,50.9,50.9,53.4,48.6, 51.00,50.0,50.72,4578,2.32,62, -, -,,2021-11-26
ADORWELD, EQ, 26-Nov-2021,752.8,750.0,750.0,701.0, 706.40,704.55,719.87,15928,114.66,2620, 8229, 51.66,0.5166373681567051,2021-11-26
ADROITINFO, EQ, 26-Nov-2021,11.1,11.6,11.65,10.65, 11.45,11.15,11.33,28409,3.22,211, 19339, 68.07,0.6807349783519308,2021-11-26
ADSL, EQ, 26-Nov-2021,116.9,116.0,118.0,110.0, 111.40,111.65,113.97,279306,318.34,4735, 169960, 60.85,0.6085082311156939,2021-11-26
ADVANIHOTR, EQ, 26-Nov-2021,78.15,78.15,79.9,75.55, 77.00,77.5,77.13,26177,20.19,319, 16080, 61.43,0.6142797111968522,2021-11-26
ADVENZYMES, EQ, 26-Nov-2021,334.95,333.0,345.0,330.4, 335.20,336.65,338.61,118435,401.03,7812, 41818, 35.31,0.35308819183518386,2021-11-26
