SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 04-Nov-2021,58.4,60.0,60.0,58.75,59.95,59.75,59.62,33522,19.99,423, 25797, 76.96,0.769554322534455,2021-11-05
21STCENMGM, EQ, 04-Nov-2021,57.6,58.75,58.75,58.75,58.75,58.75,58.75,2420,1.42,7, 2420, 100.00,1.0,2021-11-05
3IINFOLTD, BE, 04-Nov-2021,45.6,47.85,47.85,47.85,47.85,47.85,47.85,3048,1.46,92, -, -,,2021-11-05
3MINDIA, EQ, 04-Nov-2021,26758.15,26605.0,26861.0,26551.9,26737.0,26669.0,26717.13,583,155.76,377, 349, 59.86,0.5986277873070326,2021-11-05
3PLAND, EQ, 04-Nov-2021,13.1,13.7,13.7,12.55,13.05,13.2,13.11,937,0.12,41, 553, 59.02,0.5901814300960512,2021-11-05
5PAISA, EQ, 04-Nov-2021,432.5,435.6,441.0,435.0,439.0,438.45,438.43,1980,8.68,176, 1538, 77.68,0.7767676767676768,2021-11-05
63MOONS, EQ, 04-Nov-2021,98.3,98.95,99.25,98.15,98.25,98.45,98.61,15000,14.79,381, 11070, 73.80,0.738,2021-11-05
A2ZINFRA, EQ, 04-Nov-2021,4.95,5.05,5.15,4.95,5.0,5.0,5.07,312237,15.83,480, 269236, 86.23,0.8622808956017384,2021-11-05
AAKASH, EQ, 04-Nov-2021,201.9,196.7,211.5,196.7,211.0,208.4,208.19,16686,34.74,285, 14450, 86.60,0.8659954452834712,2021-11-05
AAREYDRUGS, EQ, 04-Nov-2021,33.15,34.9,34.9,32.85,33.15,33.45,33.44,7965,2.66,137, 5303, 66.58,0.6657878217200252,2021-11-05
AARON, EQ, 04-Nov-2021,108.1,108.1,112.9,108.1,109.55,109.95,109.96,1517,1.67,44, 864, 56.95,0.5695451549110085,2021-11-05
AARTIDRUGS, EQ, 04-Nov-2021,563.25,599.7,599.7,567.7,578.3,576.8,578.83,97406,563.82,6508, 35058, 35.99,0.3599162269264727,2021-11-05
AARTIIND, EQ, 04-Nov-2021,947.65,955.0,960.9,951.15,958.85,958.55,957.69,158886,1521.64,11624, 84914, 53.44,0.5344334931963798,2021-11-05
AARTISURF, EQ, 04-Nov-2021,1252.3,1259.9,1322.0,1255.15,1280.1,1284.65,1280.46,5969,76.43,904, 2857, 47.86,0.4786396381303401,2021-11-05
AARVEEDEN, EQ, 04-Nov-2021,26.65,26.7,27.35,26.5,26.95,26.8,26.96,15056,4.06,85, 11147, 74.04,0.7403692879914984,2021-11-05
AARVI, EQ, 04-Nov-2021,55.35,58.8,58.8,55.5,56.5,56.5,56.65,3309,1.87,60, 3120, 94.29,0.942883046237534,2021-11-05
AAVAS, EQ, 04-Nov-2021,2795.15,2805.0,2816.1,2785.25,2795.0,2795.1,2797.77,3652,102.17,666, 2263, 61.97,0.6196604600219058,2021-11-05
ABAN, BE, 04-Nov-2021,54.95,53.8,55.6,53.5,55.2,54.9,54.53,36969,20.16,473, -, -,,2021-11-05
ABB, EQ, 04-Nov-2021,2068.95,2076.25,2123.7,2060.0,2105.0,2105.65,2101.55,42743,898.26,3293, 18200, 42.58,0.42580071590669816,2021-11-05
ABBOTINDIA, EQ, 04-Nov-2021,20296.0,20390.0,20469.45,20207.35,20320.0,20295.05,20338.99,1687,343.12,896, 922, 54.65,0.5465323058684054,2021-11-05
ABCAPITAL, EQ, 04-Nov-2021,105.2,106.0,106.7,105.0,105.5,105.4,105.66,629031,664.64,7181, 300767, 47.81,0.4781433665431433,2021-11-05
ABFRL, EQ, 04-Nov-2021,285.15,285.25,292.0,282.5,290.5,289.8,287.52,1593904,4582.79,21304, 465337, 29.19,0.29194794667683877,2021-11-05
ABMINTLLTD, EQ, 04-Nov-2021,107.85,111.9,111.9,107.0,109.0,108.2,107.98,792,0.86,32, 418, 52.78,0.5277777777777778,2021-11-05
ABSLAMC, EQ, 04-Nov-2021,640.6,642.0,648.9,638.0,648.0,646.35,646.81,59104,382.29,4791, 38738, 65.54,0.6554209528965891,2021-11-05
ABSLBANETF, EQ, 04-Nov-2021,391.9,394.07,394.52,393.31,393.31,393.65,393.8,171,0.67,9, 117, 68.42,0.6842105263157895,2021-11-05
ABSLNN50ET, EQ, 04-Nov-2021,432.64,437.99,437.99,437.99,437.99,437.99,437.99,84,0.37,6, 84, 100.00,1.0,2021-11-05
ACC, EQ, 04-Nov-2021,2420.5,2425.9,2437.45,2419.05,2434.0,2431.45,2429.58,68940,1674.95,4470, 34142, 49.52,0.4952422396286626,2021-11-05
ACCELYA, EQ, 04-Nov-2021,1159.45,1185.0,1213.0,1175.05,1200.0,1198.7,1198.21,13908,166.65,1227, 8175, 58.78,0.5877911993097498,2021-11-05
ACCURACY, EQ, 04-Nov-2021,177.6,176.0,184.85,176.0,181.95,182.05,182.58,14545,26.56,394, 9908, 68.12,0.6811962873839807,2021-11-05
ACE, EQ, 04-Nov-2021,253.5,256.4,258.8,256.0,256.95,256.7,257.01,242127,622.29,6729, 150332, 62.09,0.6208807774432425,2021-11-05
ACRYSIL, EQ, 04-Nov-2021,746.05,777.0,778.8,762.8,771.95,770.8,771.91,66297,511.75,3443, 51716, 78.01,0.7800654629922923,2021-11-05
ADANIENT, EQ, 04-Nov-2021,1485.9,1495.0,1511.5,1483.0,1487.0,1489.45,1494.15,272261,4067.98,7764, 117493, 43.15,0.4315454655642931,2021-11-05
ADANIGREEN, EQ, 04-Nov-2021,1204.5,1215.0,1224.8,1195.1,1202.0,1200.4,1207.22,37041,447.17,3396, 24629, 66.49,0.6649118544315759,2021-11-05
ADANIPORTS, EQ, 04-Nov-2021,709.2,713.0,716.45,713.0,713.0,713.7,714.2,453287,3237.39,13384, 204054, 45.02,0.45016512717108587,2021-11-05
