SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, BE, 01-Nov-2024,266.2,263.1,263.1,263.1,263.1,263.1,263.1,12172,32.02,275, -, -,,2024-11-01
21STCENMGM, BE, 01-Nov-2024,110.78,112.99,112.99,112.99,112.99,112.99,112.99,4737,5.35,62, -, -,,2024-11-01
360ONE, EQ, 01-Nov-2024,1090.5,1095.05,1097.5,1068.0,1068.0,1076.6,1081.14,48118,520.22,3822, 23224, 48.26,0.4826468265513945,2024-11-01
3IINFOLTD, EQ, 01-Nov-2024,27.94,28.06,28.45,28.04,28.35,28.35,28.34,190300,53.92,1171, 140309, 73.73,0.7373042564372044,2024-11-01
3MINDIA, EQ, 01-Nov-2024,36047.6,36130.15,36317.6,36075.35,36135.0,36166.8,36192.07,1255,454.21,638, 393, 31.31,0.31314741035856575,2024-11-01
3PLAND, BE, 01-Nov-2024,39.35,40.9,40.9,39.0,40.89,40.43,40.41,6650,2.69,124, -, -,,2024-11-01
5PAISA, EQ, 01-Nov-2024,513.75,525.0,525.0,513.35,516.15,517.85,517.97,15076,78.09,1111, 8942, 59.31,0.5931281507031043,2024-11-01
63MOONS, EQ, 01-Nov-2024,572.75,596.0,630.0,582.35,602.0,598.5,607.21,1303357,7914.15,22374, 387773, 29.75,0.2975186384083563,2024-11-01
A2ZINFRA, EQ, 01-Nov-2024,16.96,17.74,17.8,17.6,17.8,17.79,17.8,133949,23.84,198, 128441, 95.89,0.9588798721901619,2024-11-01
AAATECH, EQ, 01-Nov-2024,120.74,119.15,123.8,119.15,120.3,121.81,121.59,9557,11.62,275, 7568, 79.19,0.7918802971643821,2024-11-01
AADHARHFC, EQ, 01-Nov-2024,439.5,446.35,447.8,442.15,445.8,444.65,445.39,49297,219.56,2175, 31036, 62.96,0.6295717792157738,2024-11-01
AAKASH, EQ, 01-Nov-2024,11.66,11.98,12.2,11.21,11.6,11.88,11.85,106720,12.65,613, 90360, 84.67,0.8467016491754122,2024-11-01
AAREYDRUGS, BE, 01-Nov-2024,61.64,61.8,64.72,61.8,64.0,63.55,64.02,16820,10.77,110, -, -,,2024-11-01
AARON, EQ, 01-Nov-2024,269.4,266.15,273.9,256.55,271.0,269.0,264.37,12935,34.2,493, 7545, 58.33,0.5833011209895632,2024-11-01
AARTECH, EQ, 01-Nov-2024,61.61,63.0,63.0,62.05,62.89,62.95,62.84,13888,8.73,242, 12815, 92.27,0.9227390552995391,2024-11-01
AARTIDRUGS, EQ, 01-Nov-2024,484.15,484.15,489.0,483.0,488.9,487.8,487.42,22443,109.39,1864, 12352, 55.04,0.5503720536470169,2024-11-01
AARTIIND, EQ, 01-Nov-2024,510.9,512.6,528.35,512.0,525.0,525.75,524.44,1024045,5370.54,27831, 356248, 34.79,0.3478831496662744,2024-11-01
AARTIPHARM, EQ, 01-Nov-2024,639.55,646.9,649.9,631.75,642.9,642.5,644.73,56820,366.34,3916, 38753, 68.20,0.6820309750087997,2024-11-01
AARTISURF, BE, 01-Nov-2024,738.25,744.0,748.9,720.1,744.0,736.15,736.42,1950,14.36,174, -, -,,2024-11-01
AARVEEDEN, BE, 01-Nov-2024,50.09,52.5,52.59,52.0,52.59,52.59,52.48,25339,13.3,176, -, -,,2024-11-01
AARVI, EQ, 01-Nov-2024,144.32,147.8,149.76,143.11,147.0,146.76,146.89,3756,5.52,117, 2567, 68.34,0.6834398296059638,2024-11-01
AAVAS, EQ, 01-Nov-2024,1672.65,1692.0,1694.9,1675.85,1685.8,1682.8,1682.71,24696,415.56,2762, 18852, 76.34,0.7633624878522838,2024-11-01
ABAN, EQ, 01-Nov-2024,65.73,65.73,65.98,65.0,65.49,65.89,65.89,48302,31.83,431, 37632, 77.91,0.7790981739886547,2024-11-01
