SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 16-Feb-2023,75.55,75.95,77.0,73.2, 74.00,73.65,74.79,157289,117.64,2467, 118800, 75.53,0.7552975732568711,2023-02-16
21STCENMGM, EQ, 16-Feb-2023,19.15,18.8,19.0,18.8, 18.80,18.8,18.8,7652,1.44,69, 7600, 99.32,0.9932043910088866,2023-02-16
360ONE, EQ, 16-Feb-2023,1839.0,1839.0,1844.8,1810.55, 1823.00,1822.7,1825.65,15448,282.03,3481, 7394, 47.86,0.4786380113930606,2023-02-16
3IINFOLTD, EQ, 16-Feb-2023,35.7,37.6,37.6,36.05, 36.25,36.45,36.73,401061,147.32,2615, 204840, 51.07,0.5107452482290724,2023-02-16
3MINDIA, EQ, 16-Feb-2023,21554.0,21700.0,22400.0,21558.0, 22301.00,22263.5,22045.16,7205,1588.35,4037, 3064, 42.53,0.42526023594725887,2023-02-16
3PLAND, EQ, 16-Feb-2023,23.25,24.4,24.4,23.7, 24.40,24.4,24.37,23358,5.69,141, 15969, 68.37,0.6836629848445929,2023-02-16
4THDIM, BE, 16-Feb-2023,32.55,32.9,33.15,32.9, 33.10,33.05,33.06,310280,102.57,912, -, -,,2023-02-16
5PAISA, EQ, 16-Feb-2023,284.85,286.0,293.55,281.35, 292.30,291.0,288.74,25847,74.63,1281, 14365, 55.58,0.5557704956087747,2023-02-16
63MOONS, EQ, 16-Feb-2023,212.7,214.65,214.65,204.85, 205.85,206.75,208.94,216177,451.68,5024, 80604, 37.29,0.3728611276870342,2023-02-16
A2ZINFRA, EQ, 16-Feb-2023,7.9,7.9,8.2,7.9, 8.20,8.1,8.1,65418,5.3,289, 34231, 52.33,0.5232657678314837,2023-02-16
AAATECH, EQ, 16-Feb-2023,60.35,59.35,61.9,59.35, 61.10,60.75,60.59,9378,5.68,459, 5013, 53.45,0.5345489443378119,2023-02-16
AAKASH, EQ, 16-Feb-2023,8.35,8.7,8.7,7.95, 7.95,7.95,8.2,800828,65.66,1652, 496916, 62.05,0.6205027796230901,2023-02-16
AAREYDRUGS, EQ, 16-Feb-2023,29.95,30.35,32.95,30.15, 31.90,31.6,31.69,103841,32.9,1197, 35516, 34.20,0.3420229003957974,2023-02-16
AARON, EQ, 16-Feb-2023,176.8,181.0,181.0,177.1, 177.30,177.7,178.34,3738,6.67,259, 2183, 58.40,0.5840021401819154,2023-02-16
AARTIDRUGS, EQ, 16-Feb-2023,378.5,380.0,383.0,378.5, 381.00,381.05,380.74,53761,204.69,3411, 23054, 42.88,0.4288238686036346,2023-02-16
AARTIIND, EQ, 16-Feb-2023,538.35,541.0,551.3,540.05, 549.80,550.15,546.34,1550890,8473.13,26710, 924795, 59.63,0.5962995441327238,2023-02-16
AARTIPHARM, EQ, 16-Feb-2023,294.55,299.0,301.7,292.1, 295.00,295.3,296.08,112913,334.31,7487, 81465, 72.15,0.721484682897452,2023-02-16
AARTISURF, EQ, 16-Feb-2023,541.25,541.25,548.0,539.35, 545.00,542.0,542.46,8444,45.81,581, 5020, 59.45,0.5945049739459971,2023-02-16
AARVEEDEN, EQ, 16-Feb-2023,23.35,23.75,23.8,23.1, 23.60,23.3,23.4,8062,1.89,117, 6668, 82.71,0.8270900520962541,2023-02-16
AARVI, EQ, 16-Feb-2023,135.5,137.45,137.5,121.7, 123.40,122.85,127.65,94661,120.84,2709, 64781, 68.43,0.6843473024793738,2023-02-16
AAVAS, EQ, 16-Feb-2023,1945.7,1945.7,1946.1,1878.0, 1890.00,1896.05,1893.59,85038,1610.27,15868, 35366, 41.59,0.4158846633269832,2023-02-16
ABAN, EQ, 16-Feb-2023,41.95,41.7,42.5,41.45, 41.90,41.9,41.89,67727,28.37,1218, 30157, 44.53,0.4452729339849691,2023-02-16
ABB, EQ, 16-Feb-2023,3149.6,3165.35,3205.0,3135.0, 3180.00,3188.4,3173.52,252897,8025.74,24741, 106959, 42.29,0.4229350288852774,2023-02-16
ABBOTINDIA, EQ, 16-Feb-2023,20399.3,20450.0,20540.0,20280.0, 20448.00,20425.15,20415.73,8952,1827.62,3631, 4061, 45.36,0.4536416443252904,2023-02-16
ABCAPITAL, EQ, 16-Feb-2023,145.3,145.35,147.9,144.6, 145.85,146.45,146.5,1316108,1928.09,11235, 501172, 38.08,0.38079853629033483,2023-02-16
ABFRL, EQ, 16-Feb-2023,256.85,257.05,261.85,252.0, 261.00,261.25,258.75,3405148,8810.78,42685, 1345328, 39.51,0.3950864984429458,2023-02-16
ABMINTLLTD, BE, 16-Feb-2023,40.05,40.05,40.5,38.05, 38.80,40.15,38.88,938,0.36,33, -, -,,2023-02-16
ABSLAMC, EQ, 16-Feb-2023,399.6,399.6,401.65,399.0, 399.35,399.85,399.8,30877,123.45,1802, 23285, 75.41,0.7541211905301681,2023-02-16
ABSLBANETF, EQ, 16-Feb-2023,41.71,42.95,42.95,41.6, 41.70,41.69,41.82,10216,4.27,209, 6229, 60.97,0.6097298355520752,2023-02-16
ABSLNN50ET, EQ, 16-Feb-2023,39.66,39.65,39.79,39.51, 39.79,39.66,39.65,11696,4.64,168, 7045, 60.23,0.60234268125855,2023-02-16
ACC, EQ, 16-Feb-2023,1852.15,1865.0,1890.25,1828.7, 1839.75,1841.65,1854.1,931391,17268.89,47174, 357824, 38.42,0.38418236809245526,2023-02-16
ACCELYA, EQ, 16-Feb-2023,1151.25,1151.25,1210.0,1150.6, 1178.10,1184.5,1191.27,50526,601.9,8575, 19384, 38.36,0.38364406444206944,2023-02-16
ACCURACY, EQ, 16-Feb-2023,21.9,21.85,21.9,19.15, 19.35,19.3,20.06,480516,96.41,2397, 272147, 56.64,0.5663640752857345,2023-02-16
ACE, EQ, 16-Feb-2023,375.8,377.45,393.3,374.85, 381.30,381.15,385.38,1057588,4075.77,24015, 298328, 28.21,0.282083382186636,2023-02-16
ACEINTEG, EQ, 16-Feb-2023,55.9,55.05,59.1,53.1, 53.10,54.15,55.69,8990,5.01,262, 6185, 68.80,0.6879866518353727,2023-02-16
ACI, EQ, 16-Feb-2023,654.55,657.6,657.6,618.25, 633.00,635.65,633.95,311898,1977.28,23545, 98240, 31.50,0.3149747673919038,2023-02-16
ADANIENT, EQ, 16-Feb-2023,1779.1,1820.0,1874.95,1790.0, 1796.85,1796.6,1818.58,5578515,101450.03,298112, 789991, 14.16,0.14161313539535164,2023-02-16
ADANIGREEN, EQ, 16-Feb-2023,621.0,632.0,652.05,591.1, 622.00,616.3,632.95,13543834,85725.03,327350, 4328058, 31.96,0.3195592917042545,2023-02-16
ADANIPORTS, EQ, 16-Feb-2023,569.05,580.0,590.8,573.3, 578.00,577.2,581.17,9909820,57593.29,165208, 2020131, 20.39,0.20385143221572138,2023-02-16
