SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, BE, 11-Sep-2023,124.2,124.2,127.0,122.0, 125.95,124.85,125.07,60362,75.49,409, -, -,,2023-09-11
21STCENMGM, EQ, 11-Sep-2023,19.6,19.7,19.95,19.3, 19.95,19.95,19.77,13704,2.71,122, 9088, 66.32,0.663164039696439,2023-09-11
360ONE, EQ, 11-Sep-2023,520.35,529.0,555.0,524.8, 550.00,549.9,544.03,1209800,6581.7,36838, 648872, 53.63,0.5363465035543065,2023-09-11
3IINFOLTD, EQ, 11-Sep-2023,39.15,39.6,40.45,39.05, 39.10,39.2,39.61,700312,277.41,4335, 482678, 68.92,0.6892327990952604,2023-09-11
3MINDIA, EQ, 11-Sep-2023,32914.85,32715.0,33249.85,32385.05, 32600.00,32694.25,32865.49,1664,546.88,1035, 668, 40.14,0.4014423076923077,2023-09-11
3PLAND, EQ, 11-Sep-2023,22.9,23.2,23.95,22.0, 23.75,23.35,23.25,26111,6.07,111, 23694, 90.74,0.907433648653824,2023-09-11
5PAISA, EQ, 11-Sep-2023,466.15,469.65,475.0,459.7, 462.90,461.6,464.52,68922,320.16,4991, 38438, 55.77,0.5577029105365485,2023-09-11
63MOONS, EQ, 11-Sep-2023,320.6,322.25,329.25,318.0, 319.70,318.95,321.84,72587,233.61,4428, 46449, 63.99,0.6399079725019632,2023-09-11
A2ZINFRA, BE, 11-Sep-2023,10.4,10.5,10.9,10.2, 10.90,10.9,10.72,451966,48.47,564, -, -,,2023-09-11
AAATECH, EQ, 11-Sep-2023,61.95,62.9,64.0,60.7, 62.00,62.4,61.65,36980,22.8,714, 21582, 58.36,0.5836127636560303,2023-09-11
AAKASH, BE, 11-Sep-2023,6.3,6.25,6.25,6.2, 6.20,6.2,6.21,150826,9.36,421, -, -,,2023-09-11
AAREYDRUGS, BE, 11-Sep-2023,51.15,50.05,52.45,50.05, 51.50,51.9,51.49,71796,36.97,255, -, -,,2023-09-11
AARON, BE, 11-Sep-2023,253.0,254.0,254.0,253.0, 253.00,253.0,253.62,2999,7.61,173, -, -,,2023-09-11
AARTECH, BE, 11-Sep-2023,180.85,189.0,189.5,171.8, 185.60,184.5,178.6,69701,124.49,918, -, -,,2023-09-11
AARTIDRUGS, EQ, 11-Sep-2023,619.55,621.2,624.75,608.0, 613.00,611.95,612.92,307624,1885.48,12243, 167790, 54.54,0.5454385873663954,2023-09-11
AARTIIND, EQ, 11-Sep-2023,517.3,520.6,521.45,515.05, 516.30,516.3,518.07,980949,5082.03,20013, 522000, 53.21,0.5321377563971216,2023-09-11
AARTIPHARM, EQ, 11-Sep-2023,450.2,455.0,455.95,437.1, 442.00,440.95,446.7,274732,1227.23,14380, 160004, 58.24,0.5824003028405864,2023-09-11
AARTISURF, EQ, 11-Sep-2023,663.15,669.95,672.0,658.8, 661.85,661.35,662.14,11968,79.24,1514, 7256, 60.63,0.6062834224598931,2023-09-11
AARVEEDEN, EQ, 11-Sep-2023,26.95,27.15,27.15,25.85, 26.00,26.05,26.62,97862,26.06,498, 79012, 80.74,0.8073818233839488,2023-09-11
AARVI, EQ, 11-Sep-2023,127.85,130.4,134.0,127.5, 127.70,127.75,130.18,53044,69.05,1026, 33279, 62.74,0.6273848126084006,2023-09-11
AAVAS, EQ, 11-Sep-2023,1665.05,1674.95,1731.0,1670.0, 1718.00,1718.6,1709.64,242975,4154.01,16031, 124618, 51.29,0.5128840415680626,2023-09-11
ABAN, EQ, 11-Sep-2023,49.2,49.65,49.95,47.75, 47.90,47.85,48.7,294090,143.22,2366, 189287, 64.36,0.6436363018123704,2023-09-11
ABB, EQ, 11-Sep-2023,4458.55,4484.95,4678.0,4460.05, 4620.00,4618.85,4627.19,684497,31672.99,58802, 179968, 26.29,0.26292007123478994,2023-09-11
ABBOTINDIA, EQ, 11-Sep-2023,23002.3,23050.0,23135.55,22851.1, 23029.05,22985.1,22936.15,8108,1859.66,3457, 4191, 51.69,0.5168968919585595,2023-09-11
ABCAPITAL, EQ, 11-Sep-2023,186.9,187.95,191.5,187.0, 190.15,190.5,190.17,4033933,7671.42,26937, 2015511, 49.96,0.4996391858764139,2023-09-11
ABFRL, EQ, 11-Sep-2023,229.35,230.85,234.65,230.0, 233.60,233.3,232.88,5306492,12357.73,67894, 2993907, 56.42,0.5641970250779611,2023-09-11
ABMINTLLTD, BE, 11-Sep-2023,37.95,37.2,37.3,37.2, 37.30,37.3,37.21,413,0.15,15, -, -,,2023-09-11
ABSLAMC, EQ, 11-Sep-2023,422.7,426.6,429.9,422.85, 425.55,425.7,426.01,172048,732.94,6007, 106694, 62.01,0.6201408909141635,2023-09-11
ABSLBANETF, EQ, 11-Sep-2023,45.52,46.0,46.0,45.53, 45.75,45.9,45.79,41508,19.01,588, 35809, 86.27,0.8627011660402814,2023-09-11
ABSLLIQUID, EQ, 11-Sep-2023,1000.0,999.99,1000.01,999.99, 999.99,999.99,999.99,116,1.16,4, 114, 98.28,0.9827586206896551,2023-09-11
ABSLNN50ET, EQ, 11-Sep-2023,47.4,47.95,48.0,47.4, 48.00,47.96,47.84,3849,1.84,152, 3147, 81.76,0.8176149649259548,2023-09-11
ACC, EQ, 11-Sep-2023,2024.25,2024.25,2068.55,2012.0, 2053.00,2051.05,2050.07,666836,13670.6,25179, 380464, 57.06,0.5705510800256735,2023-09-11
ACCELYA, EQ, 11-Sep-2023,1573.0,1580.9,1584.55,1534.9, 1543.00,1543.3,1549.85,29530,457.67,4690, 15744, 53.32,0.5331527260413139,2023-09-11
ACCURACY, BE, 11-Sep-2023,9.15,9.3,9.6,9.0, 9.40,9.25,9.4,309280,29.09,920, -, -,,2023-09-11
ACE, EQ, 11-Sep-2023,714.4,716.0,719.95,708.0, 711.00,710.95,713.3,188248,1342.78,12866, 112969, 60.01,0.6001073052568952,2023-09-11
ACEINTEG, BE, 11-Sep-2023,36.8,37.25,37.25,35.0, 35.00,35.0,35.55,871,0.31,30, -, -,,2023-09-11
ACI, EQ, 11-Sep-2023,633.2,637.85,653.0,635.0, 639.10,641.35,645.3,381754,2463.45,25550, 227621, 59.63,0.5962504649591098,2023-09-11
ACL, BE, 11-Sep-2023,100.0,102.35,102.95,100.0, 102.00,100.85,101.26,10747,10.88,366, -, -,,2023-09-11
ADANIENSOL, EQ, 11-Sep-2023,833.0,843.4,877.0,838.0, 874.80,874.9,856.55,6691473,57315.89,98345, 3517811, 52.57,0.5257154889513863,2023-09-11
ADANIENT, EQ, 11-Sep-2023,2519.3,2565.0,2630.25,2546.0, 2612.00,2614.95,2581.13,9148241,236127.71,181137, 4381738, 47.90,0.47897054745278356,2023-09-11
ADANIGREEN, EQ, 11-Sep-2023,1001.2,1017.95,1025.85,1002.8, 1019.00,1014.65,1010.36,7208880,72835.96,70427, 4515762, 62.64,0.6264165862103406,2023-09-11
ADANIPORTS, EQ, 11-Sep-2023,825.0,840.0,887.2,835.0, 883.55,882.45,869.5,20638175,179449.0,257914, 7428819, 36.00,0.359955228599428,2023-09-11
ADANIPOWER, EQ, 11-Sep-2023,369.15,373.0,403.2,372.95, 402.00,398.4,391.82,44839639,175690.66,275211, 18014578, 40.18,0.40175564303717964,2023-09-11
ADFFOODS, EQ, 11-Sep-2023,1138.5,229.95,261.95,229.95, 256.00,256.55,248.12,1084923,2691.94,36255, 263227, 24.26,0.2426227483425091,2023-09-11
ADL, BE, 11-Sep-2023,75.65,76.0,76.65,73.0, 76.00,76.15,75.06,613,0.46,17, -, -,,2023-09-11
ADORWELD, EQ, 11-Sep-2023,1151.15,1151.15,1170.0,1094.0, 1120.50,1116.25,1121.47,53762,602.93,7339, 31871, 59.28,0.5928164874818646,2023-09-11
ADROITINFO, EQ, 11-Sep-2023,22.2,24.5,26.6,24.5, 26.60,26.6,26.35,88612,23.35,193, 82977, 93.64,0.9364081614228321,2023-09-11
ADSL, EQ, 11-Sep-2023,147.0,149.05,153.0,145.1, 146.50,146.25,148.69,590372,877.84,8481, 273214, 46.28,0.4627827878015895,2023-09-11
ADVANIHOTR, EQ, 11-Sep-2023,91.55,92.9,93.85,86.55, 88.15,88.0,89.47,117533,105.16,2101, 70838, 60.27,0.6027073247513465,2023-09-11
ADVENZYMES, EQ, 11-Sep-2023,323.75,325.7,325.95,322.6, 323.50,324.5,324.26,180671,585.84,5101, 128824, 71.30,0.7130308682633073,2023-09-11
AEGISCHEM, EQ, 11-Sep-2023,351.75,360.0,360.0,352.3, 359.50,359.6,355.23,594897,2113.26,9993, 401581, 67.50,0.6750429065871907,2023-09-11
AEROFLEX, EQ, 11-Sep-2023,156.6,158.5,158.9,154.5, 154.90,154.95,155.48,1107364,1721.7,14450, 681501, 61.54,0.6154263638695135,2023-09-11
AETHER, EQ, 11-Sep-2023,994.65,1001.0,1008.0,994.1, 996.00,996.45,999.43,39827,398.04,4500, 20770, 52.15,0.5215055113365304,2023-09-11
AFFLE, EQ, 11-Sep-2023,1159.1,1175.0,1178.85,1150.0, 1157.00,1153.65,1161.42,489188,5681.54,32167, 264108, 53.99,0.5398905942091793,2023-09-11
AGARIND, EQ, 11-Sep-2023,1038.7,1040.0,1078.25,1040.0, 1054.20,1047.6,1061.04,54699,580.38,5627, 24840, 45.41,0.45412164756211265,2023-09-11
AGI, EQ, 11-Sep-2023,707.8,712.75,721.8,700.1, 706.00,703.1,706.29,90974,642.54,6846, 48864, 53.71,0.5371204959658804,2023-09-11
AGRITECH, BE, 11-Sep-2023,195.0,193.0,193.0,191.1, 191.10,191.1,191.49,3618,6.93,36, -, -,,2023-09-11
AGROPHOS, EQ, 11-Sep-2023,40.35,40.8,40.8,38.1, 38.40,38.35,38.7,196884,76.19,1770, 134545, 68.34,0.6833719347433006,2023-09-11
AGSTRA, EQ, 11-Sep-2023,65.35,65.8,66.0,64.4, 64.80,64.7,64.86,268285,174.0,3032, 144915, 54.02,0.5401531952960471,2023-09-11
