SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 13-Jan-2026,192.88,193.0,197.0,189.68,190.14,190.64,192.01,100472,192.92,3848, 45922, 45.71,0.4570626642248587,2026-01-13
21STCENMGM, EQ, 13-Jan-2026,45.75,45.75,46.61,44.84,45.25,45.2,45.45,1214,0.55,37, 891, 73.39,0.7339373970345964,2026-01-13
360ONE, EQ, 13-Jan-2026,1130.5,1132.0,1153.6,1120.5,1139.2,1136.8,1138.12,732421,8335.83,24551, 453211, 61.88,0.6187848245749371,2026-01-13
3IINFOLTD, EQ, 13-Jan-2026,14.99,15.15,16.65,14.61,15.29,15.14,15.34,493186,75.66,1672, 217292, 44.06,0.4405883378684715,2026-01-13
3MINDIA, EQ, 13-Jan-2026,34830.0,34830.0,35215.0,34155.0,34840.0,34995.0,34712.98,5361,1860.96,4109, 2085, 38.89,0.3889199776161164,2026-01-13
3PLAND, EQ, 13-Jan-2026,37.0,35.6,39.89,35.5,37.32,37.51,37.71,6852,2.58,92, 3025, 44.15,0.44147694103911267,2026-01-13
5PAISA, EQ, 13-Jan-2026,369.1,369.0,371.2,355.0,355.1,356.65,361.15,139496,503.8,7298, 49416, 35.42,0.3542467167517348,2026-01-13
63MOONS, EQ, 13-Jan-2026,641.4,644.8,702.0,644.8,691.0,694.75,673.69,350810,2363.36,12816, 173905, 49.57,0.4957241811806961,2026-01-13
A2ZINFRA, EQ, 13-Jan-2026,14.56,14.46,14.9,14.1,14.11,14.26,14.46,180299,26.08,614, 95580, 53.01,0.5301194127532599,2026-01-13
AAATECH, EQ, 13-Jan-2026,104.01,105.8,114.41,101.5,112.4,112.79,111.67,284404,317.58,3473, 163254, 57.40,0.5740214624266888,2026-01-13
AADHARHFC, EQ, 13-Jan-2026,478.3,480.0,485.0,476.35,484.85,483.35,481.96,84277,406.18,6583, 43998, 52.21,0.5220641456150551,2026-01-13
AAKASH, EQ, 13-Jan-2026,8.32,8.35,8.6,8.35,8.45,8.45,8.43,83408,7.03,317, 73012, 87.54,0.875359677728755,2026-01-13
AAREYDRUGS, EQ, 13-Jan-2026,65.91,66.5,66.5,63.27,63.52,64.86,64.86,186516,120.98,1104, 151471, 81.21,0.8121072722983551,2026-01-13
AARON, EQ, 13-Jan-2026,160.23,163.65,179.26,161.86,166.2,167.88,170.05,25761,43.81,1251, 8753, 33.98,0.3397771825627887,2026-01-13
AARTECH, EQ, 13-Jan-2026,50.43,51.94,51.94,49.51,50.49,50.29,50.46,30913,15.6,846, 15376, 49.74,0.4973959175751302,2026-01-13
AARTIDRUGS, EQ, 13-Jan-2026,386.65,381.65,396.05,381.65,395.0,393.65,391.78,112571,441.03,5329, 49953, 44.37,0.4437466132485276,2026-01-13
AARTIIND, EQ, 13-Jan-2026,357.95,358.05,365.5,355.8,363.0,363.0,360.41,664023,2393.19,22929, 280499, 42.24,0.42242362086855423,2026-01-13
AARTIPHARM, EQ, 13-Jan-2026,753.9,766.15,776.55,758.05,763.25,764.7,766.02,223838,1714.64,10882, 83964, 37.51,0.37511057103798284,2026-01-13
AARTISURF, EQ, 13-Jan-2026,361.05,363.0,390.6,360.0,383.5,380.6,380.76,21964,83.63,2039, 11642, 53.00,0.5300491713713349,2026-01-13
AARVI, EQ, 13-Jan-2026,130.8,130.8,133.59,129.0,131.0,129.84,130.09,11795,15.34,335, 7130, 60.45,0.6044934294192454,2026-01-13
AAVAS, EQ, 13-Jan-2026,1451.8,1460.0,1460.0,1435.0,1445.0,1447.0,1446.23,56656,819.37,8979, 24912, 43.97,0.43970629765602937,2026-01-13
ABAN, BE, 13-Jan-2026,18.3,18.3,18.87,18.16,18.5,18.34,18.51,64317,11.9,331, -, -,,2026-01-13
ABB, EQ, 13-Jan-2026,5048.0,5050.0,5081.5,4923.0,4960.0,4966.0,4988.9,113004,5637.65,16248, 40553, 35.89,0.35886340306537823,2026-01-13
ABBOTINDIA, EQ, 13-Jan-2026,28380.0,28420.0,28525.0,28000.0,28100.0,28090.0,28245.65,3869,1092.82,2467, 2340, 60.48,0.6048074437839235,2026-01-13
ABCAPITAL, EQ, 13-Jan-2026,355.25,356.9,359.55,345.0,351.0,350.85,351.05,3297853,11576.99,30208, 1321275, 40.06,0.40064702702030686,2026-01-13
ABCOTS, EQ, 13-Jan-2026,409.1,413.5,414.0,406.2,409.8,409.15,409.75,28995,118.81,204, 20805, 71.75,0.7175375064666322,2026-01-13
ABDL, EQ, 13-Jan-2026,486.25,491.15,502.0,480.65,483.9,483.15,486.55,336747,1638.46,13608, 135719, 40.30,0.4030295741313211,2026-01-13
ABFRL, EQ, 13-Jan-2026,74.31,74.31,75.05,72.65,73.38,73.32,73.67,2322703,1711.2,16646, 1129240, 48.62,0.4861749435894301,2026-01-13
ABGSEC, EQ, 13-Jan-2026,111.25,110.81,110.81,110.81,110.81,110.81,110.81,2,0.0,1, 2, 100.00,1.0,2026-01-13
ABINFRA, EQ, 13-Jan-2026,18.4,18.5,19.3,18.5,19.3,19.11,19.04,753265,143.41,964, 440516, 58.48,0.5848087990282305,2026-01-13
ABLBL, EQ, 13-Jan-2026,120.49,121.45,121.45,118.0,118.18,118.39,119.16,625936,745.87,11421, 358810, 57.32,0.5732375194908106,2026-01-13
