SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIVERY_PCT,DATE
20MICRONS, EQ, 30-Jul-2021,64.2,64.0,68.65,62.7, 66.20,66.5,66.35,505882,335.67,5094, 238349, 47.12,0.47115532871302,2021-07-30
21STCENMGM, EQ, 30-Jul-2021,22.15,22.55,22.55,22.55, 22.55,22.55,22.55,584,0.13,15, 584, 100.00,1.0,2021-07-30
3IINFOTECH, BE, 30-Jul-2021,9.4,9.6,9.7,9.25, 9.35,9.3,9.4,3297132,309.93,5672, -, -,,2021-07-30
3MINDIA, EQ, 30-Jul-2021,24842.0,24900.0,24995.0,24511.0, 24600.00,24660.9,24822.11,1458,361.91,967, 936, 64.20,0.6419753086419753,2021-07-30
3PLAND, BE, 30-Jul-2021,16.05,15.75,16.5,15.25, 16.05,16.1,15.78,8045,1.27,58, -, -,,2021-07-30
5PAISA, EQ, 30-Jul-2021,511.3,512.05,518.3,505.0, 508.25,507.65,511.21,41534,212.32,1301, 23886, 57.51,0.5750951028073386,2021-07-30
63MOONS, EQ, 30-Jul-2021,101.45,104.25,104.45,99.25, 100.50,100.8,101.79,136068,138.5,1732, 80476, 59.14,0.5914395743304818,2021-07-30
A2ZINFRA, EQ, 30-Jul-2021,5.3,5.3,5.35,5.2, 5.20,5.25,5.28,278895,14.73,408, 179750, 64.45,0.6445077896699475,2021-07-30
AAKASH, EQ, 30-Jul-2021,258.75,259.0,264.0,257.0, 263.00,261.6,260.51,67666,176.27,697, 24805, 36.66,0.36657996630508677,2021-07-30
AARON, EQ, 30-Jul-2021,127.2,128.4,128.9,120.85, 120.85,121.2,123.03,16935,20.83,343, 13114, 77.44,0.7743726011219368,2021-07-30
AARTIDRUGS, EQ, 30-Jul-2021,664.9,669.8,670.2,662.75, 667.25,667.4,667.19,285665,1905.93,11258, 110358, 38.63,0.3863196401379238,2021-07-30
AARTIIND, EQ, 30-Jul-2021,894.4,894.7,941.95,892.95, 938.00,934.8,924.26,1905761,17614.1,68587, 637342, 33.44,0.3344291335587201,2021-07-30
AARTISURF, EQ, 30-Jul-2021,1501.85,1505.0,1516.8,1483.0, 1498.00,1486.65,1496.79,12413,185.8,2407, 6977, 56.21,0.5620720212680255,2021-07-30
AARVEEDEN, EQ, 30-Jul-2021,26.15,27.0,27.4,25.2, 27.15,27.2,26.86,125660,33.76,888, 102777, 81.79,0.8178975011936973,2021-07-30
AARVI, EQ, 30-Jul-2021,70.55,69.0,71.8,69.0, 70.00,69.95,70.6,25662,18.12,398, 16821, 65.55,0.6554828150572831,2021-07-30
AAVAS, EQ, 30-Jul-2021,2575.35,2608.95,2686.3,2510.0, 2525.00,2521.7,2573.14,56441,1452.31,10183, 20979, 37.17,0.3716978792012898,2021-07-30
ABAN, EQ, 30-Jul-2021,47.15,47.55,47.9,45.8, 46.00,46.05,46.53,150673,70.11,2098, 86739, 57.57,0.575677128616275,2021-07-30
ABB, EQ, 30-Jul-2021,1686.5,1694.9,1725.0,1682.75, 1694.25,1699.15,1712.35,85831,1469.72,14795, 45687, 53.23,0.5322901981801447,2021-07-30
ABBOTINDIA, EQ, 30-Jul-2021,18193.95,18190.0,19244.7,18049.95, 18870.05,19012.75,18781.96,24423,4587.12,7845, 12335, 50.51,0.5050567088400278,2021-07-30
ABCAPITAL, EQ, 30-Jul-2021,116.5,117.0,117.9,115.5, 116.00,115.8,116.6,2165183,2524.71,17599, 981690, 45.34,0.4533981654206596,2021-07-30
ABFRL, EQ, 30-Jul-2021,227.2,228.0,234.5,219.15, 227.00,224.25,226.86,14124521,32043.05,97240, 2828345, 20.02,0.20024360472117958,2021-07-30
ABSLBANETF, EQ, 30-Jul-2021,345.19,344.61,345.19,343.23, 343.84,343.84,343.91,26,0.09,9, 18, 69.23,0.6923076923076923,2021-07-30
ABSLNN50ET, EQ, 30-Jul-2021,399.45,396.95,401.0,396.95, 401.00,401.0,400.61,69,0.28,10, 65, 94.20,0.9420289855072463,2021-07-30
ACC, EQ, 30-Jul-2021,2364.0,2365.0,2415.0,2360.0, 2395.50,2394.1,2390.86,465284,11124.27,21995, 165508, 35.57,0.35571392955700176,2021-07-30
ACCELYA, EQ, 30-Jul-2021,1361.9,1369.0,1396.75,1356.15, 1379.00,1368.95,1376.62,39046,537.52,3865, 17470, 44.74,0.4474209906264406,2021-07-30
ACCURACY, EQ, 30-Jul-2021,91.3,92.5,92.55,90.0, 92.00,92.15,91.52,36213,33.14,298, 25830, 71.33,0.7132797614116477,2021-07-30
ACE, EQ, 30-Jul-2021,258.2,258.15,268.5,253.0, 259.95,258.05,260.53,1178609,3070.62,20354, 316385, 26.84,0.26843932126769776,2021-07-30
ACRYSIL, EQ, 30-Jul-2021,627.55,629.7,638.8,614.35, 627.00,619.65,627.11,66547,417.32,2792, 44918, 67.50,0.6749815919575638,2021-07-30
ADANIENT, EQ, 30-Jul-2021,1400.25,1409.5,1449.5,1400.25, 1426.05,1420.25,1428.4,4403219,62895.63,68464, 1083252, 24.60,0.24601365501011874,2021-07-30
ADANIGREEN, BE, 30-Jul-2021,924.3,930.85,935.0,878.1, 879.00,882.3,892.81,238191,2126.6,19143, -, -,,2021-07-30
ADANIPORTS, EQ, 30-Jul-2021,659.65,661.25,687.8,659.5, 675.00,674.5,678.17,13440904,91152.0,214286, 4125785, 30.70,0.30695740405556055,2021-07-30
ADANIPOWER, BE, 30-Jul-2021,95.4,95.2,97.0,94.0, 96.00,95.85,96.18,1305492,1255.57,14855, -, -,,2021-07-30
ADANITRANS, BE, 30-Jul-2021,937.9,945.0,950.0,891.05, 891.05,893.45,901.81,166571,1502.15,9950, -, -,,2021-07-30
ADFFOODS, EQ, 30-Jul-2021,951.45,935.95,935.95,879.25, 904.00,905.4,908.22,107242,973.99,8265, 48678, 45.39,0.45390798381231234,2021-07-30
ADL, BE, 30-Jul-2021,35.3,36.0,36.7,35.4, 36.50,36.4,36.14,8601,3.11,45, -, -,,2021-07-30
ADORWELD, EQ, 30-Jul-2021,737.4,735.0,754.0,718.0, 724.20,722.0,738.49,18320,135.29,2591, 7814, 42.65,0.426528384279476,2021-07-30
ADROITINFO, BE, 30-Jul-2021,8.2,8.6,8.6,8.2, 8.60,8.6,8.53,5195,0.44,21, -, -,,2021-07-30
ADSL, EQ, 30-Jul-2021,70.35,71.75,72.85,68.1, 70.80,70.5,71.01,500170,355.18,5689, 290563, 58.09,0.5809284843153328,2021-07-30
ADVANIHOTR, EQ, 30-Jul-2021,72.2,72.7,73.4,71.45, 72.50,72.5,72.57,11252,8.17,268, 7324, 65.09,0.6509065055101315,2021-07-30
